pathway,pval,padj,ES,NES,nMoreExtreme,size,leadingEdge,Contrast,Time,Stress,Numerator,Denominator,N_num,N_den,RankStatistic,sig,LeadingEdgeSize,LeadingEdgeHeadFrac
HALLMARK_G2M_CHECKPOINT,2.584647195657793e-4,0.004562789430672841,-0.40859043555577906,-1.9952224837289945,0,194,CKS2;MYC;CENPE;BUB1;NUSAP1;STIL;KNL1;KIF20B;CDKN3;PLK4;MKI67;CASP8AP2;HMMR;FBXO5;BRCA2;NDC80;CENPF;SS18;EGF;DMD;MAP3K20;KIF23;CDC27;RBL1;TOP2A;CBX1;DBF4;AURKA;RASAL2;CDC7;MAD2L1;RACGAP1;SMC1A;ORC5;EXO1;MEIS1;PDS5B;NEK2;ORC6;NOLC1;SMC2;CHEK1;SYNCRIP;KIF11;HNRNPD;MCM5;HSPA8;LIG3;ATRX;PBK;KIF15;SMC4;EZH2;KIF2C;HMGN2;RAD21;SMARCC1;EWSR1;CCNA2;STAG1;ARID4A;XPO1;RAD23B;ODF2;CUL1;CCNB2;KIF4A;LMNB1;RPS6KA5;CDC6;TTK;POLQ;PTTG1;MTF2;HIF1A;SRSF10,D_vs_Ctrl,4 hours,NoCPT,DOX,CTRL,2,2,vst_mean_diff,2.340769573131123,76,0.25
HALLMARK_GLYCOLYSIS,0.5677056719468574,1,-0.19911532662179932,-0.9563360839273742,2221,175,EGLN3;STC1;CHST4;VEGFA;PPFIA4;ZNF292;GLRX;ANGPTL4;DEPDC1;HMMR;LHX9;CD44;NSDHL;GPR87;P4HA1;VCAN;PLOD2;VLDLR;TXN;AURKA;CASP6;KIF20A;NANP;NT5E;ECD;HDLBP;PPP2CB;ERO1A;PFKP;COPB2;GAL3ST1;PGK1;PAXIP1;EGFR;LDHA,D_vs_Ctrl,4 hours,NoCPT,DOX,CTRL,2,2,vst_mean_diff,-0,35,0.2857142857142857
HALLMARK_HEDGEHOG_SIGNALING,0.7279029462738301,1,-0.254405921326289,-0.8221719774336778,3359,24,VEGFA;HEY1;VLDLR;RASA1;NF1;DPYSL2,D_vs_Ctrl,4 hours,NoCPT,DOX,CTRL,2,2,vst_mean_diff,-0,6,0.5
HALLMARK_HEME_METABOLISM,0.8227408142999006,1,0.18724086568663373,0.852313983228022,4970,162,PGLS;DMTN;SLC66A2;PIGQ;PPOX;SLC25A38;SLC6A8;TENT5C;CCND3;BTG2;ABCG2;RNF123;TMCC2;LMO2;HAGH;SMOX;SIDT2;BLVRB;RANBP10;PRDX2;SEC14L1;SLC6A9;RBM38;UBAC1;KHNYN;ATP6V0A1;LRP10;MAP2K3;BCAM;FN3K;PPP2R5B;HTRA2;SLC22A4;ABCB6;EPOR;PC;HEBP1;SLC30A1,D_vs_Ctrl,4 hours,NoCPT,DOX,CTRL,2,2,vst_mean_diff,-0,38,0.07894736842105263
HALLMARK_HYPOXIA,0.26842238541402885,0.6917038393361513,-0.22364626068364687,-1.0741147937364832,1059,174,STC1;NDRG1;TMEM45A;VEGFA;PPFIA4;ZNF292;GLRX;ANGPTL4;PPP1R3C;SERPINE1;LXN;ADM;F3;P4HA1;ETS1;LOX;ALDOC;BHLHE40;NFIL3;TGFB3;VLDLR;RBPJ;CSRP2;HS3ST1;PYGM;ERRFI1;GCNT2;CASP6,D_vs_Ctrl,4 hours,NoCPT,DOX,CTRL,2,2,vst_mean_diff,0.16007981374176547,28,0.07142857142857142
HALLMARK_IL2_STAT5_SIGNALING,0.9955246146195923,1,-0.14682250245111472,-0.6894340245376241,4003,150,NDRG1;MYC;PTRH2;SERPINC1;CD44;PLAGL1;P4HA1;BHLHE40;NFIL3;IL4R;EMP1;NT5E;IKZF2;IFNGR1;SOCS2;PTGER2;MYO1E;PHTF2;SNX9;CASP3;LCLAT1;GUCY1B1;SPRY4;SWAP70;CDC42SE2;LRRC8C;IL18R1;RABGAP1L;CDC6;PLPP1;CCNE1;CXCL10;WLS;TNFSF10;IL1R2;ITGAE;PNP;ITGA6,D_vs_Ctrl,4 hours,NoCPT,DOX,CTRL,2,2,vst_mean_diff,-0,38,0.13157894736842105
HALLMARK_IL6_JAK_STAT3_SIGNALING,0.575976518401445,1,-0.23206653706736527,-0.9357754742415791,2550,62,CXCL11;CXCL1;PTPN2;CD44;OSMR;IL6ST;TLR2;IL4R;IFNGR1;IFNGR2;CXCL3;LEPR;STAM2;IL18R1;CXCL10;IL1R2;IL2RG;IL1R1;IFNAR1;TNFRSF12A;CSF3R;FAS;HMOX1,D_vs_Ctrl,4 hours,NoCPT,DOX,CTRL,2,2,vst_mean_diff,-0,23,0.08695652173913043
HALLMARK_INFLAMMATORY_RESPONSE,4.921259842519685e-4,0.006594488188976378,-0.36463928920008587,-1.688333025406878,1,135,CXCL8;CCL20;CXCL11;MYC;IL7R;FPR1;IL15;ICAM1;PDE4B;CSF3;NMI;INHBA;SERPINE1;TNFAIP6;EREG;IFITM1;ADM;F3;OSMR;HAS2;IRAK2;TLR2;IL4R;NAMPT;PTGER4;TLR3;IFNGR2;RASGRP1;PTGER2;KCNJ2;ABI1;EMP3;ROS1;PCDH7;P2RX7;MET;SGMS2;IL18R1;BST2;EIF2AK2;CXCL10;HIF1A;ATP2B1;TNFSF10,D_vs_Ctrl,4 hours,NoCPT,DOX,CTRL,2,2,vst_mean_diff,2.180818905247074,44,0.13636363636363635
HALLMARK_INTERFERON_ALPHA_RESPONSE,0.7953367875647669,1,-0.1958153812577638,-0.848605652647378,3376,91,CXCL11;IL15;SAMD9;NMI;IFITM1;NCOA7;SAMD9L;DDX60;IL4R;PARP9;EPSTI1;IRF2;TDRD7;B2M;CASP8;SLC25A28;IFI35;C1S;IFIT3;SP110;BST2;EIF2AK2;CXCL10;CASP1;PSMB9;IFIH1,D_vs_Ctrl,4 hours,NoCPT,DOX,CTRL,2,2,vst_mean_diff,-0,26,0.11538461538461539
HALLMARK_INTERFERON_GAMMA_RESPONSE,0.05848248046382657,0.1781057359580173,-0.26655885653241607,-1.2700652101037897,231,164,CXCL11;STAT4;CASP4;MX2;FPR1;IL15;KLRK1;CIITA;ICAM1;PDE4B;NMI;TNFAIP6;PTPN2;EIF4E3;HLA-DMA;SAMD9L;DDX60;IL4R;NAMPT;EPSTI1;IRF2;TDRD7;ZNFX1;B2M;CASP8;PSMA2;CFH;IFIT1;PLA2G4A;VAMP5;PFKP;AUTS2;SLC25A28;RAPGEF6;IDO1;CASP3;IFNAR2;IFI35;PELI1;C1S;GBP6;CASP7;IFIT3;SP110;CFB;BST2;JAK2;ARID5B;EIF2AK2;CXCL10;HIF1A;CASP1;TNFSF10;PSMB9;IFIH1;PNP,D_vs_Ctrl,4 hours,NoCPT,DOX,CTRL,2,2,vst_mean_diff,0.7493220937046307,56,0.10714285714285714
HALLMARK_KRAS_SIGNALING_DN,0.567786391042205,1,0.22056778590896442,0.9452320230794308,3295,109,MAGIX;IDUA;DLK2;RSAD2;LFNG;NR6A1;P2RY4;YPEL1;TENT5C;MAST3;BTG2;LYPD3;MTHFR;PRODH;GPRC5C;KRT4;SPTBN2;UPK3B;ABCG4;KRT13;SPHK2;MSH5;COQ8A;KMT2D;CPEB3;CELSR2;KCND1;MYO15A,D_vs_Ctrl,4 hours,NoCPT,DOX,CTRL,2,2,vst_mean_diff,-0,28,0.07142857142857142
HALLMARK_KRAS_SIGNALING_UP,0.0067147475752300425,0.04089891704912844,-0.3127884825397604,-1.4637421753473734,26,147,CCL20;LAPTM5;IL7R;IGF2;TFPI;SCG5;PLEK2;ADGRA2;GLRX;FBXO4;ANGPTL4;PLAT;INHBA;BIRC3;EREG;ETV1;ETS1;PTPRR;PRDM1;STRN;EMP1;ITGA2;FCER1G;DUSP6;PRELID3B;IL1RL2;WNT7A;USP12;SDCCAG8;ERO1A;CFH;CBR4;HDAC9;NIN;PECAM1;GPNMB;CROT;SERPINA3;ALDH1A3;MMD;MAP3K1;MALL;CFB;RABGAP1L;GYPC;CXCL10;ATG10;IL2RG;GALNT3;TPH1;SATB1,D_vs_Ctrl,4 hours,NoCPT,DOX,CTRL,2,2,vst_mean_diff,1.3882881914013225,51,0.1568627450980392
HALLMARK_MITOTIC_SPINDLE,0.0028578851649779164,0.027354043721931485,-0.30712130825720335,-1.5027960850937083,10,198,CENPE;BUB1;NUSAP1;SASS6;DLGAP5;KIF20B;ALMS1;PREX1;CENPJ;ANLN;EPB41L2;TUBGCP5;FBXO5;BRCA2;NDC80;DST;NCK1;CENPF;CCDC88A;KIF23;CDC27;APC;CDK5RAP2;UXT;TOP2A;CEP57;AURKA;RICTOR;RASAL2;SHROOM2;RACGAP1;SMC1A;PCM1;CLIP1;DLG1;ECT2;NEK2;KNTC1;RANBP9;KIF11;RASA1;NIN;RAPGEF5;KIF15;MYO1E;SOS1;FGD6;SMC4;KIF2C;ARHGEF3;RAPGEF6;ABI1;SORBS2;ARHGAP29;TLK1;CNTRL;EZR;WASL;CKAP5;CCNB2;KIF4A;ARHGAP5;NF1;LMNB1;CDC42;HOOK3;TTK;STAU1;PCGF5;RFC1;PLK1;ARFGEF1;TPX2;SMC3;EPB41;TUBGCP3;YWHAE;NET1;ITSN1;TUBGCP2;FGD4;SPTBN1;CEP192;INCENP;CD2AP;PDLIM5;SSH2;MID1,D_vs_Ctrl,4 hours,NoCPT,DOX,CTRL,2,2,vst_mean_diff,1.5629784632497963,88,0.22727272727272727
