gene,NRI,rank_early,rank_late,delta_rank
AC000120.1,1,0.816449520748436,0.7949262469149975,-0.02152327383343855
AC000403.1,1,0.8645468633415601,0.9217126786431729,0.0571658153016128
AC002066.1,1,0.8860127417781094,0.8525512253917236,-0.03346151638638584
AC002116.2,1,0.8640303047695574,0.8033059748608161,-0.060724329908741326
AC002128.1,1,0.8014119267634736,0.7570452849681456,-0.04436664179532801
AC002310.1,1,0.6885151810824772,0.6809389886931068,-0.007576192389370462
AC002310.2,0.9743589743589743,0.9691212764736268,0.905182804339092,-0.06393847213453474
AC002378.1,1,0.9086265281524422,0.991562876657292,0.08293634850484988
AC002401.4,1,0.8381449807725421,0.9277391953165356,0.08959421454399352
AC002451.1,0.9743589743589743,0.9186133272111576,0.8867588819376686,-0.03185444527348902
AC002456.1,1,0.6778970326579808,0.7101532457096941,0.03225621305171322
AC002467.1,1,0.7031510072892154,0.7395396889169489,0.036388681627733455
AC002470.1,0.9743589743589743,0.8686793319175802,0.9300350111921024,0.061355679274522235
AC002550.2,1,0.8590369052401997,0.9478275842277449,0.08879067898754522
AC002551.1,1,0.9972450209493199,0.9333639442116742,-0.06388107673764565
AC002553.1,1,0.7923434540549847,0.8122022613786374,0.01985880732365264
AC002553.2,1,0.9924812030075187,0.9471388394650749,-0.04534236354244381
AC002558.3,1,0.8206393847213453,0.7468289043218734,-0.07381048039947191
AC003043.2,1,0.9768122596567755,0.9999426046031108,0.023130344946335257
AC003086.1,1,0.7200826493715204,0.7387361533605005,0.018653503988980025
AC003093.1,1,0.9913906904666245,0.915341789588475,-0.07604890087814953
AC003101.2,1,0.8677610055673535,0.8485335476094817,-0.01922745795787173
AC003102.1,1,0.7018309131607645,0.69454169775584,-0.007289215404924554
AC003991.1,1,0.9008781495724043,0.8596108592090914,-0.04126729036331289
AC004000.1,1,0.9883487344314986,0.8699994260460311,-0.11834930838546753
AC004069.1,0.9743589743589743,0.8758537565287264,0.8978361935372783,0.021982437008551847
AC004076.2,1,0.7400562474889514,0.7237559547724273,-0.016300292716524112
AC004130.2,1,0.5978878493944786,0.6533318027894163,0.055443953394937684
AC004148.1,0.9743589743589743,0.6809389886931068,0.7218045112781954,0.04086552258508869
AC004156.1,1,0.9537393101073294,0.9863398955403777,0.032600585433048335
AC004223.2,1,0.9946048326924181,0.8415313091890031,-0.15307352350341497
AC004231.1,1,0.7184755782586236,0.6952878379153992,-0.02318774034322446
AC004233.2,1,0.6662457670894795,0.728060609539115,0.06181484244963553
AC004241.1,1,0.7651954313264077,0.787005682144292,0.021810250817884347
AC004241.3,1,0.8520346668197211,0.8993284738563967,0.04729380703667563
AC004241.4,0.9743589743589743,0.9544280548699994,0.9116684841875682,-0.04275957068243119
AC004263.2,1,0.9709005337771911,0.8792400849451874,-0.09166044883200375
AC004264.1,0.9743589743589743,0.7872926591287379,0.8255753888538139,0.03828272972507596
AC004449.1,1,0.9341100843712334,0.9838144980772542,0.049704413706020745
AC004461.2,1,0.8029616024794811,0.706422544911898,-0.09653905756758308
AC004466.1,0.9743589743589743,0.7972794581874534,0.8358491648969752,0.03856970670952187
AC004466.2,1,0.8725822189060437,0.7821844688056018,-0.09039775010044193
AC004477.1,0.9473684210526316,0.6612523675601216,0.6784709866268726,0.01721861906675093
AC004477.3,1,0.9154565803822533,0.9639556907536015,0.04849911037134824
