gene,cluster,module_membership,lfc_sur,pc_loading,NRI,rank_early,rank_late,delta_rank
ALG1L9P,M7,0.6916261842021494,0.603526705069851,0.008856372628707037,1,0.8722952419215979,0.7941227113585491,-0.07817253056304885
ALG2,M2,0.3651073435513651,-0.5703438653299084,-0.008321364408870583,0.9743589743589743,0.2656258968030764,0.3654938873902313,0.0998679905871549
ALG3,M5,0.13086119748726055,-0.2016546736911824,-0.0030131975441992508,1,0.18383745623600986,0.20863226769213108,0.024794811456121224
ALG5,M2,0.9018772673213397,-0.40470383585638814,-0.006357964919086401,1,0.36446077024622625,0.4372955288985823,0.07283475865235606
ALG6,M4,0.42285673708343374,-0.10269464137885365,-0.0011887412032316883,1,0.453423635424439,0.4817195660907995,0.028295930666360547
ALG8,M2,0.5626017987577558,-0.40985362788426194,-0.004785246493627969,1,0.2903059174654193,0.3645181656431154,0.07421224817769612
ALG9,M2,0.43241295853956374,-0.27331812993558735,-0.0030110884002592865,1,0.3850657177294381,0.43706594731102566,0.052000229581587565
ALKBH1,M4,0.758614573850785,0.16191628815317927,0.0028680213460794395,1,0.5877862595419847,0.5885323997015439,7.461401595592054e-4
ALKBH2,M4,0.3969194727936396,-0.06979399308459833,-6.396428746887248e-4,1,0.3894851632899041,0.4088848074384434,0.019399644148539286
ALKBH3,M4,0.18281597355227053,-0.22238605821710067,-0.0020610189946860284,1,0.5004878608735579,0.5420995236182058,0.04161166274464789
ALKBH4,M4,0.6461155767597796,0.1511587671858301,0.003828029185161422,1,0.600413246857602,0.6020777133673879,0.0016644665097859113
ALKBH5,M5,0.818783260985325,-0.6539206877328443,-0.009002940613925266,1,0.08528955977730586,0.13878206967801182,0.05349250990070596
ALKBH6,M4,0.14597339572483037,0.5699274088664419,0.006835886614213171,1,0.5817023474717328,0.5385410090110773,-0.04316133846065551
ALKBH7,M2,0.44550888389580046,-0.8878809294623355,-0.012671122586516101,1,0.3594673707168685,0.5010044194455605,0.141537048728692
ALKBH8,M4,0.7848198492330551,0.015286264085874635,0.0032514895255617553,1,0.5488721804511278,0.5637949836423118,0.014922803191183998
ALMS1,M1,0.9305236202637357,0.6403591369206811,0.01148900767883936,1,0.39229753773747345,0.29036331286230843,-0.10193422487516501
ALMS1-IT1,M7,0.33936450968915566,0.21094831099042555,0.0029715723941534746,1,0.8293060896516099,0.8163921253515468,-0.012913964300063085
ALOX12-AS1,M4,0.2968403538495056,0.4404736493654253,0.004453261964983945,1,0.6365723468977788,0.6171153073523503,-0.019457039545428434
ALOX12B,M7,0.5535653905639603,0.5713350126769123,0.003283341062951961,1,0.9276817999196465,0.8305113929862825,-0.09717040693336398
ALOX15B,M5,0.2568727164284159,-0.47343685397527047,-0.004599107340105333,1,0.17717959019686622,0.24507834471675372,0.0678987545198875
ALOXE3,M7,0.6905020779006081,0.5985232673133334,0.007704107146880182,1,0.74705848590943,0.7090053377719107,-0.038053148137519366
ALPG,M3,0.6884188621303647,-0.3388713541326993,-0.003418536654203096,1,0.7637031510072892,0.8225908282155772,0.058887677208287914
ALPK1,M1,0.4506424357618257,1.3473479981275336,0.01862355036713437,1,0.5143201515238478,0.3234804568673592,-0.1908396946564886
