Cluster,Description,score,FDR,Count
M2,HALLMARK_P53_PATHWAY,0.04322229728826989,0.9052691126684809,38
M2,HALLMARK_HEME_METABOLISM,0.02423518247257376,0.9457248864922932,32
M2,HALLMARK_ANGIOGENESIS,0.015585749569408015,0.9647488075145066,5
M2,HALLMARK_GLYCOLYSIS,1.8147389295205495e-11,0.9999999999582141,33
M2,HALLMARK_ESTROGEN_RESPONSE_EARLY,1.8147389295205495e-11,0.9999999999582141,28
M2,REACTOME_CELL_CYCLE_CHECKPOINTS,1.8147389295205495e-11,0.9999999999582141,28
M2,HALLMARK_IL2_STAT5_SIGNALING,1.8147389295205495e-11,0.9999999999582141,26
M2,HALLMARK_COMPLEMENT,1.8147389295205495e-11,0.9999999999582141,25
M2,HALLMARK_INTERFERON_GAMMA_RESPONSE,1.8147389295205495e-11,0.9999999999582141,25
M2,HALLMARK_E2F_TARGETS,1.8147389295205495e-11,0.9999999999582141,23
M2,HALLMARK_MYC_TARGETS_V1,1.8147389295205495e-11,0.9999999999582141,20
M2,HALLMARK_PROTEIN_SECRETION,1.8147389295205495e-11,0.9999999999582141,18
M2,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,1.8147389295205495e-11,0.9999999999582141,16
M2,HALLMARK_KRAS_SIGNALING_DN,1.8147389295205495e-11,0.9999999999582141,15
M2,HALLMARK_UV_RESPONSE_DN,1.8147389295205495e-11,0.9999999999582141,14
M2,WP_APOPTOSIS_MODULATION_AND_SIGNALING,1.8147389295205495e-11,0.9999999999582141,14
M2,WP_RAS_SIGNALING,1.8147389295205495e-11,0.9999999999582141,14
M2,GOMF_HEAT_SHOCK_PROTEIN_BINDING,1.8147389295205495e-11,0.9999999999582141,13
M2,HALLMARK_APICAL_JUNCTION,1.8147389295205495e-11,0.9999999999582141,13
M2,HALLMARK_G2M_CHECKPOINT,1.8147389295205495e-11,0.9999999999582141,13
M2,HALLMARK_INTERFERON_ALPHA_RESPONSE,1.8147389295205495e-11,0.9999999999582141,13
M2,HALLMARK_PI3K_AKT_MTOR_SIGNALING,1.8147389295205495e-11,0.9999999999582141,13
M2,WP_ADIPOGENESIS,1.8147389295205495e-11,0.9999999999582141,13
M2,HALLMARK_ANDROGEN_RESPONSE,1.8147389295205495e-11,0.9999999999582141,12
M2,PID_MYC_ACTIV_PATHWAY,1.8147389295205495e-11,0.9999999999582141,11
M2,WP_CELL_CYCLE,1.8147389295205495e-11,0.9999999999582141,10
M2,HALLMARK_IL6_JAK_STAT3_SIGNALING,1.8147389295205495e-11,0.9999999999582141,9
M2,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,1.8147389295205495e-11,0.9999999999582141,9
M2,WP_APOPTOSIS,1.8147389295205495e-11,0.9999999999582141,9
M2,HALLMARK_MITOTIC_SPINDLE,1.8147389295205495e-11,0.9999999999582141,8
M2,REACTOME_GLUCOSE_METABOLISM,1.8147389295205495e-11,0.9999999999582141,8
M2,WP_PROTEASOME_DEGRADATION,1.8147389295205495e-11,0.9999999999582141,8
M2,HALLMARK_TGF_BETA_SIGNALING,1.8147389295205495e-11,0.9999999999582141,7
M2,REACTOME_ACTIVATION_OF_ATR_IN_RESPONSE_TO_REPLICATION_STRESS,1.8147389295205495e-11,0.9999999999582141,5
M2,HALLMARK_WNT_BETA_CATENIN_SIGNALING,1.8147389295205495e-11,0.9999999999582141,4
M2,WP_DNA_REPLICATION,1.8147389295205495e-11,0.9999999999582141,3
M2,HALLMARK_PANCREAS_BETA_CELLS,1.8147389295205495e-11,0.9999999999582141,2
M2,HALLMARK_APICAL_SURFACE,1.8147389295205495e-11,0.9999999999582141,1
M2,HALLMARK_HEDGEHOG_SIGNALING,1.8147389295205495e-11,0.9999999999582141,1
M3,HALLMARK_KRAS_SIGNALING_DN,6.203887116320933,6.253352114560036e-7,27
M3,HALLMARK_KRAS_SIGNALING_UP,5.824952495815828,1.49639932693205e-6,31
M3,HALLMARK_COAGULATION,4.55191306885007,2.8059952476249548e-5,21
M3,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,3.318622795839156,4.8015029957087824e-4,26
M3,HALLMARK_COMPLEMENT,2.6900920900070506,0.002041305050087128,25
M3,HALLMARK_INTERFERON_GAMMA_RESPONSE,1.3832668701098623,0.04137453538359406,22
M3,HALLMARK_INFLAMMATORY_RESPONSE,0.7662195937156746,0.17130908928250338,17
M3,HALLMARK_APICAL_SURFACE,0.6920240152366405,0.2032244630541913,6
M3,HALLMARK_XENOBIOTIC_METABOLISM,0.677491425490703,0.21013992576917795,18
M3,HALLMARK_HYPOXIA,0.49634726606330737,0.31889868906232544,19
M3,WP_RAS_SIGNALING,0.4883178428872025,0.3248494659407097,16
M3,WP_AMINO_ACID_METABOLISM,0.4883178428872025,0.3248494659407097,9
M3,HALLMARK_IL2_STAT5_SIGNALING,0.46979441652580634,0.33900459393454946,16
M3,HALLMARK_IL6_JAK_STAT3_SIGNALING,0.46979441652580634,0.33900459393454946,8
M3,HALLMARK_ANGIOGENESIS,0.46979441652580634,0.33900459393454946,4
M3,HALLMARK_INTERFERON_ALPHA_RESPONSE,0.30861413160723866,0.49134423907666674,10
M3,WP_ADIPOGENESIS,0.29967562461410424,0.5015617111699969,11
M3,HALLMARK_ESTROGEN_RESPONSE_LATE,0.18965320414450337,0.6461700072520135,16
M3,HALLMARK_UV_RESPONSE_UP,0.18965320414450337,0.6461700072520135,13
M3,HALLMARK_APICAL_JUNCTION,0.11004582346811428,0.776165217226352,14
M3,HALLMARK_TNFA_SIGNALING_VIA_NFKB,0.10740868647350957,0.7808926111447362,16
M3,HALLMARK_PANCREAS_BETA_CELLS,0.08550371097065114,0.8212895350286439,2
M3,HALLMARK_FATTY_ACID_METABOLISM,0.05827754128893815,0.8744247845997843,12
M3,HALLMARK_ESTROGEN_RESPONSE_EARLY,2.7393632353719932e-8,0.9999999369238325,14
M3,HALLMARK_ADIPOGENESIS,2.7393632353719932e-8,0.9999999369238325,10
M3,HALLMARK_GLYCOLYSIS,2.7393632353719932e-8,0.9999999369238325,9
M3,HALLMARK_P53_PATHWAY,2.7393632353719932e-8,0.9999999369238325,9
M3,GOMF_HEAT_SHOCK_PROTEIN_BINDING,2.7393632353719932e-8,0.9999999369238325,8
M3,HALLMARK_APOPTOSIS,2.7393632353719932e-8,0.9999999369238325,8
M3,HALLMARK_HEME_METABOLISM,2.7393632353719932e-8,0.9999999369238325,7
M3,HALLMARK_UV_RESPONSE_DN,2.7393632353719932e-8,0.9999999369238325,7
M3,GOMF_RNA_ENDONUCLEASE_ACTIVITY,2.7393632353719932e-8,0.9999999369238325,5
M3,HALLMARK_ANDROGEN_RESPONSE,2.7393632353719932e-8,0.9999999369238325,5
M3,HALLMARK_MTORC1_SIGNALING,2.7393632353719932e-8,0.9999999369238325,5
M3,WP_APOPTOSIS,2.7393632353719932e-8,0.9999999369238325,5
