gene,cluster,module_membership,lfc_sur,pc_loading,NRI,baseline_value,abs_lfc_sur
RPL21,M5,0.2953963316785688,-1.0565556104173377,-0.01726329093928899,0.9473684210526316,23073.916700182857,1.0565556104173377
RPS14,M5,0.20464770588996584,-1.0503568957785383,-0.01716184959568938,0.9189189189189187,21003.656455926495,1.0503568957785383
B4GALT1,M5,0.4266799007955111,-1.0103760879386012,-0.01287336512356107,0.97435897435897445,19564.48437998473,1.0103760879386012
HSPA5,M5,0.4346278697304147,-1.3056850073034545,-0.01424014764118817,0.97435897435897445,18475.18493857624,1.3056850073034545
EIF2S3,M5,0.41630588116537726,-1.055022406083603,-0.01582933732146703,0.97435897435897445,17015.268672874594,1.055022406083603
S100P,M5,0.3376329085445775,-1.2521881972823363,-0.0206344305730573,0.97435897435897445,16271.293825647568,1.2521881972823363
RPS13,M5,0.3980088561967209,-1.0094894725809065,-0.01723355605939587,0.97435897435897445,15751.679397659074,1.0094894725809065
RPL35A,M5,0.3997731274967765,-1.0262856478945643,-0.01729627231096846,0.97435897435897445,15494.190291419327,1.0262856478945643
RPS25,M5,0.4086199725648887,-1.00410433947682,-0.01641059971802302,0.97435897435897445,14866.914553338953,1.00410433947682
RPL39,M5,0.2986405681352676,-1.0258558027025495,-0.01801023090598305,0.9473684210526316,14694.159423246936,1.0258558027025495
KRT17,M5,0.4317769889057594,-1.043512975937691,-0.01456186860684401,0.97435897435897445,13525.424744065702,1.043512975937691
CHP1,M5,0.3664469579598576,-1.3998227901507256,-0.02066074690833743,1,13429.629789573706,1.3998227901507256
AKR1C2,M5,0.6171369940533702,-1.1195641326230987,-0.01156874366265344,1,13395.8056779238,1.1195641326230987
TMEM123,M5,0.4596776195645046,-1.0616840478709548,-0.01728845729111265,1,13026.337150995267,1.0616840478709548
RPS21,M5,0.41243218436095674,-1.0125197930470051,-0.01661970172131828,0.97435897435897445,12768.803267273826,1.0125197930470051
RPL34,M5,0.41612493612234747,-0.9967845278067884,-0.01637972498453819,0.97435897435897445,12582.543899138394,0.9967845278067884
BZW1,M5,0.45771759623111896,-1.1293482177019687,-0.01735259154899562,1,12481.809347299572,1.1293482177019687
ANXA1,M5,0.4381973858527163,-0.9877088926230648,-0.01342633372902886,0.97435897435897445,12041.029198847205,0.9877088926230648
PGK1,M5,0.4332974287638405,-1.005562387252116,-0.01517632839203919,0.97435897435897445,12023.900429711071,1.005562387252116
EIF3E,M5,0.4821312183529243,-1.075451587705844,-0.01661977453978378,1,12021.928424552294,1.075451587705844
ALDH1A3,M5,0.6019897281158348,-1.4437631851284305,-0.01370346592425988,1,11764.582615657628,1.4437631851284305
LDHB,M5,0.49991474638092814,-0.9674423340502348,-0.01503074648548608,1,11764.17510648595,0.9674423340502348
CCNI,M5,0.4195314581428514,-0.9952541687953964,-0.01657148843280854,0.97435897435897445,11300.607564004978,0.9952541687953964
FGFBP1,M5,0.39765432479509466,-1.6441922835733145,-0.01938804575533325,1,11226.459651697714,1.6441922835733145
NUCKS1,M5,0.42280568355283255,-0.994101937147505,-0.01670859003157049,0.97435897435897445,11215.051399944812,0.994101937147505
EIF3L,M5,0.30619643231343585,-0.9736507620866311,-0.01458018208715441,0.9473684210526316,10688.96512618582,0.9736507620866311
RHOA,M5,0.4873805563047693,-1.02531980735381,-0.01614163049245029,1,10683.441646394946,1.02531980735381
KRT16,M5,0.6266039284533778,-1.1979366260240685,-0.01272098287676475,1,10294.16338426627,1.1979366260240685
SLC25A5,M5,0.43683562715142066,-0.9689915026513276,-0.01570596066357525,0.97435897435897445,9738.714023432396,0.9689915026513276
TMED10,M5,0.5431198367245396,-1.0221987106168005,-0.0146293131757017,1,9515.265386254992,1.0221987106168005
EIF3H,M5,0.4945410025233543,-1.0263094567590816,-0.01630852024522655,1,9462.38476406251,1.0263094567590816
HSPA1A,M5,0.49641232660556667,-1.3752421585501438,-0.01634665088045387,1,9332.453877551307,1.3752421585501438
EIF1,M5,0.43258920615976937,-1.052213623520215,-0.01820031331413452,1,8973.934517450158,1.052213623520215
CYP51A1,M5,0.5071289972800801,-1.2209043931993495,-0.01600717979781246,1,8937.1126781486,1.2209043931993495
DSTN,M5,0.4346738579463542,-1.097303100134651,-0.01815609225276369,1,8915.952861042628,1.097303100134651
SPTSSA,M5,0.552597409794162,-1.0768159271090385,-0.01487136245138284,1,8835.193218461929,1.0768159271090385
IDH1,M5,0.3992406257390667,-1.407641427247567,-0.01874497327826282,1,8816.787224216592,1.407641427247567
HMGCS1,M5,0.8249834299928854,-1.072969833007695,-0.00836143291289617,1,8653.837623337055,1.072969833007695
HSPA1B,M5,0.5647853089973973,-1.233982839613681,-0.01456330935494504,1,7866.7756802357835,1.233982839613681
AGR2,M5,0.4738638926703536,-1.176981934998814,-0.01683134355124016,1,7406.220529708466,1.176981934998814
MSMO1,M5,0.2521657154870929,-1.6760642469582478,-0.02076777219513211,1,7030.054588702004,1.6760642469582478
RPS29,M5,0.49597428041702096,-0.9837996665265916,-0.0163220504671664,1,6829.677037523843,0.9837996665265916
KRT6B,M5,0.6083304434762431,-1.1267702871681171,-0.01352160746711978,1,6791.929244486056,1.1267702871681171
NQO1,M5,0.45405471581206047,-1.2059252329492305,-0.01679253468004894,1,6648.835083958558,1.2059252329492305
COX7C,M5,0.4854406187415077,-0.9840230445766468,-0.01658657931269276,1,6238.520967648652,0.9840230445766468
LGALS1,M5,0.16576732233787295,-1.8816171348598107,-0.02313655597835714,1,6115.844723454973,1.8816171348598107
KRT10,M5,0.4295819273620486,-1.4088027965621688,-0.01659539229948822,1,5963.129879389995,1.4088027965621688
RPL22L1,M5,0.44558245206790825,-1.0296891325519013,-0.0173471093243787,1,5923.820888818477,1.0296891325519013
COX5B,M5,0.492061190641612,-1.0757255721507215,-0.01635384018070777,1,5923.21499929913,1.0757255721507215
ATP5MC2,M5,0.514835867936507,-1.0159946961549569,-0.0156543309289023,1,5339.557105235545,1.0159946961549569
VSTM2L,M5,0.7426645413819372,-0.9755328992198588,-0.01094108591489651,1,5324.776154339966,0.9755328992198588
DYNLL1,M5,0.25627688015636674,-1.508906266762187,-0.02303795664742962,1,5242.91444401574,1.508906266762187
TWF1,M5,0.4700168573921879,-0.9806395921095756,-0.01650940824892231,1,5047.05957315729,0.9806395921095756
GNG12,M5,0.44601116281887343,-1.010561244710269,-0.01624302058925023,1,5036.066221622868,1.010561244710269
CLIC4,M5,0.36012958562768493,-1.112276210829629,-0.01743317537009164,1,4875.751102975642,1.112276210829629
HIGD1A,M5,0.3780906626295421,-1.0888425101015322,-0.01700515250222392,1,4809.410577265999,1.0888425101015322
ARL6IP5,M5,0.4677275373980927,-1.0703728587215906,-0.01570666221764459,1,4794.922271486483,1.0703728587215906
PTP4A1,M5,0.4126509189982194,-1.1669424027385134,-0.01724408317661993,1,4723.449173778982,1.1669424027385134
PPDPF,M5,0.4780010250836094,-1.0291686135799178,-0.01649620439537255,1,4692.888845409656,1.0291686135799178
OLA1,M5,0.4572123319111555,-1.0559506716432896,-0.0149294946226291,1,4629.862578410564,1.0559506716432896
CYCS,M5,0.5106410281132014,-1.03370080069201,-0.01533455292497535,1,4599.367436790902,1.03370080069201
MT-ND6,M5,0.42318926569557336,-1.1399887715983965,-0.01680161788820257,1,4510.140775711547,1.1399887715983965
GPX4,M5,0.48304071372443647,-1.0210674237921094,-0.01614552669783755,1,4479.104678386008,1.0210674237921094
INSIG1,M5,0.21497228246112,-1.1702479261542995,-0.01143422131555846,1,4443.7556939979295,1.1702479261542995
ARF4,M5,0.5095409175530363,-0.9755697816297316,-0.01472575619109676,1,4004.1136591030818,0.9755697816297316
NCCRP1,M5,0.14225447279058745,-1.213242263202801,-0.01472475779838994,1,3753.4814577747675,1.213242263202801
