gene,baseline_mean,region
ENSG00000176387_HSD11B2,13.11807693,head
ENSG00000129351_ILF3,13.11401661,head
ENSG00000197157_SND1,13.11376331,head
ENSG00000136450_SRSF1,13.11218058,head
ENSG00000167642_SPINT2,13.11047107,head
ENSG00000119314_PTBP3,13.10896692,head
ENSG00000197728_RPS26,13.09648885,head
ENSG00000138413_IDH1,13.09155528,head
ENSG00000058262_SEC61A1,13.08992238,head
ENSG00000001630_CYP51A1,13.08240873,head
ENSG00000105974_CAV1,13.08045841,head
ENSG00000101443_WFDC2,13.0716656,head
ENSG00000047849_MAP4,13.07061029,head
ENSG00000231925_TAPBP,13.06915482,head
ENSG00000126777_KTN1,13.06911461,head
ENSG00000143384_MCL1,13.06829144,head
ENSG00000182795_C1orf116,13.06411469,head
ENSG00000135373_EHF,13.06175887,head
ENSG00000152894_PTPRK,13.06079207,head
ENSG00000140264_SERF2,13.0593117,head
ENSG00000100380_ST13,13.05815302,head
ENSG00000112297_CRYBG1,13.05499109,head
ENSG00000110917_MLEC,13.05487681,head
ENSG00000168385_SEPTIN2,13.05176625,head
ENSG00000014216_CAPN1,13.04939786,head
ENSG00000134757_DSG3,13.04925765,head
ENSG00000138594_TMOD3,13.0374928,head
ENSG00000125107_CNOT1,13.03726353,head
ENSG00000127603_MACF1,13.03301364,head
ENSG00000092820_EZR,13.0329671,head
ENSG00000108424_KPNB1,13.03020348,head
ENSG00000168615_ADAM9,13.02376751,head
ENSG00000177954_RPS27,13.02345122,head
ENSG00000196419_XRCC6,13.02317437,head
ENSG00000122359_ANXA11,13.0183989,head
ENSG00000107262_BAG1,13.01652161,head
ENSG00000198431_TXNRD1,13.01516306,head
ENSG00000169813_HNRNPF,13.01047068,head
ENSG00000106263_EIF3B,13.00957758,head
ENSG00000189091_SF3B3,13.00934299,head
ENSG00000116251_RPL22,12.99843479,head
ENSG00000204388_HSPA1B,12.99560759,head
ENSG00000131473_ACLY,12.99538466,head
ENSG00000136205_TNS3,12.99179127,head
ENSG00000134755_DSC2,12.98981442,head
ENSG00000169045_HNRNPH1,12.9893522,head
ENSG00000204469_PRRC2A,12.98620185,head
ENSG00000134308_YWHAQ,12.98530782,head
ENSG00000163041_H3F3A,12.98505303,head
ENSG00000082641_NFE2L1,12.98062868,head
ENSG00000148773_MKI67,12.98053212,head
ENSG00000213639_PPP1CB,12.97917597,head
ENSG00000110958_PTGES3,12.97538343,head
ENSG00000117592_PRDX6,12.97401342,head
ENSG00000115524_SF3B1,12.97262398,head
ENSG00000143761_ARF1,12.96924428,head
ENSG00000065150_IPO5,12.96745834,head
ENSG00000165280_VCP,12.96385489,head
ENSG00000173726_TOMM20,12.96178677,head
ENSG00000090621_PABPC4,12.95914201,head
ENSG00000171490_RSL1D1,12.95473308,head
ENSG00000105855_ITGB8,12.95371895,head
ENSG00000228253_MT-ATP8,12.95349571,head
ENSG00000086598_TMED2,12.95082908,head
ENSG00000117450_PRDX1,12.94947013,head
ENSG00000196305_IARS,12.94666754,head
ENSG00000156261_CCT8,12.94476767,head
ENSG00000133639_BTG1,12.94373438,head
ENSG00000112972_HMGCS1,12.94208638,head
ENSG00000083857_FAT1,12.94011184,head
ENSG00000153827_TRIP12,12.93852072,head
ENSG00000130726_TRIM28,12.93358902,head
