gene_id,4 h Ctrl,4 h Tam,4 h D,4 h DT,4D_L_CPT,4DT_L_CPT,4D_H_CPT,4DT_H_CPT,24 h Ctrl,24 h Tam,24 h D,24 h DT,24D_L_CPT,24DT_L_CPT,24D_H_CPT,24DT_H_CPT
ENSG00000204956_PCDHGA1,4.718817209980735,4.346872361667389,4.648694551359625,3.477309433573335,4.704767708944038,4.307663536763064,4.438660665678456,4.987765210629359,5.0553031230017655,4.359570091595833,4.305821775158034,4.496679534995597,4.397755500636555,3.9224097308994716,4.688287761524064,4.2544518285778405
ENSG00000204961_PCDHA9,2.6672587856660197,3.5106591135736576,2.8983688620142667,3.038602152187301,2.507350953684387,1.257008966422764,0.9690715552361184,2.4359105746503,4.85366490970789,3.1522250578286046,3.7157259899357404,3.578153497601444,3.290811024561222,3.6073340636865785,3.8968943442504753,4.21491962714183
ENSG00000204962_PCDHA8,2.210773698219208,1.5784530461900967,2.52210973897361,0.6800086686671407,0.0,1.2946053498860546,0.643102986765823,0.88478400308888,3.0708188050795826,2.0528998583111067,2.117800792554796,3.455527602304528,3.5533317107730737,3.2178809070639653,3.1051232523949706,3.503212283889078
ENSG00000204963_PCDHA7,1.8554056099587457,2.1623154572418066,2.307006647226215,2.1075130523507193,2.383241783776267,2.206204316408424,2.647864847579278,2.2869985730380944,3.7526746025738853,2.2748920518775595,3.8578213582106082,3.950145942480967,4.074773837932467,3.8827389618563934,4.242707438777732,4.349925235906989
ENSG00000204965_PCDHA5,4.004018962769521,3.1515413706411195,3.073491879227956,2.2182011645885114,2.568292205356209,1.746534632888134,3.0022242193585282,3.2595593164841525,4.5896938078704945,3.7443038398656263,3.4787734004429645,3.9954888888999034,3.8403039447737095,4.084285472028232,4.303226469602272,4.1427674451071885
ENSG00000204967_PCDHA4,5.466177377206353,5.3969845852091956,5.160779420664577,5.002919759126799,5.067921601554142,4.793422477837146,6.040133466517799,5.284175080306229,6.159761135717582,5.500714652812009,5.041537886322578,5.2425791768133525,5.506143339839724,5.378126507997008,5.946047941233784,5.979030166214271
ENSG00000204977_TRIM13,10.151820744796137,10.149319581473405,10.17167102887975,9.845004096029724,11.217922573564433,11.110349641347586,9.239911054854822,9.02716502128892,10.127258401551137,10.004996408653808,9.873784093138958,9.397928290241902,10.187641284975292,9.616196741319811,9.615013900692091,9.124139442608854
ENSG00000204991_SPIRE2,8.02371789257115,8.46384702237517,8.284647946906315,8.661195362103818,8.550429445696102,8.568436239917961,8.072062995805837,8.355780341178107,8.548803209252052,8.162155699040024,8.311302699674169,9.07569271196246,8.129865795771025,9.00035336425992,8.98338587799605,9.592813784612712
ENSG00000205002_AARD,7.348503483775653,7.325882145698639,7.29567166787611,6.996447425774564,7.814578433005076,7.124860496523972,7.1218031355086495,7.371286292850696,7.82575485585364,7.630869028662542,7.319144051987142,7.278074777876397,6.7674445260627225,6.608975835837363,6.504302332207358,5.8798573864614765
ENSG00000205041_AC118344.1,4.370329823870478,4.199238721218342,4.655351581061396,4.2008931287748,4.681082154520624,4.323801618377368,5.163356661389065,5.440399217328906,4.893221188260106,4.823374817721141,5.359449659992609,6.302986100478938,5.470062265995019,6.402412004503417,6.53009316875438,7.046953449608205
