gene_id,x_comparison_id,x_baseline_mode,x_baseline_label,x_condition_label,x_baseline_rank,x_condition_rank,x_rank_shift,x_band,y_comparison_id,y_baseline_mode,y_baseline_label,y_condition_label,y_baseline_rank,y_condition_rank,y_rank_shift,y_band,x_axis_label,y_axis_label
ENSG00000070756_PABPC1,matched::24 h Ctrl__vs__24 h Tam,matched,24 h Ctrl,24 h Tam,28,29,-1,head,matched::24 h D__vs__24 h DT,matched,24 h D,24 h DT,28,37,-9,head,"Dox OFF: Tam vs Ctrl
Tam/MYC-ER ON vs OFF","Dox ON: DT vs D
Tam/MYC-ER ON vs OFF"
ENSG00000174444_RPL4,matched::24 h Ctrl__vs__24 h Tam,matched,24 h Ctrl,24 h Tam,29,28,1,head,matched::24 h D__vs__24 h DT,matched,24 h D,24 h DT,30,35,-5,head,"Dox OFF: Tam vs Ctrl
Tam/MYC-ER ON vs OFF","Dox ON: DT vs D
Tam/MYC-ER ON vs OFF"
ENSG00000111640_GAPDH,matched::24 h Ctrl__vs__24 h Tam,matched,24 h Ctrl,24 h Tam,30,26,4,head,matched::24 h D__vs__24 h DT,matched,24 h D,24 h DT,25,27,-2,head,"Dox OFF: Tam vs Ctrl
Tam/MYC-ER ON vs OFF","Dox ON: DT vs D
Tam/MYC-ER ON vs OFF"
ENSG00000161016_RPL8,matched::24 h Ctrl__vs__24 h Tam,matched,24 h Ctrl,24 h Tam,31,31,0,head,matched::24 h D__vs__24 h DT,matched,24 h D,24 h DT,31,33,-2,head,"Dox OFF: Tam vs Ctrl
Tam/MYC-ER ON vs OFF","Dox ON: DT vs D
Tam/MYC-ER ON vs OFF"
ENSG00000254772_EEF1G,matched::24 h Ctrl__vs__24 h Tam,matched,24 h Ctrl,24 h Tam,32,32,0,head,matched::24 h D__vs__24 h DT,matched,24 h D,24 h DT,33,51,-18,head,"Dox OFF: Tam vs Ctrl
Tam/MYC-ER ON vs OFF","Dox ON: DT vs D
Tam/MYC-ER ON vs OFF"
ENSG00000167653_PSCA,matched::24 h Ctrl__vs__24 h Tam,matched,24 h Ctrl,24 h Tam,33,94,-61,head,matched::24 h D__vs__24 h DT,matched,24 h D,24 h DT,72,101,-29,head,"Dox OFF: Tam vs Ctrl
Tam/MYC-ER ON vs OFF","Dox ON: DT vs D
Tam/MYC-ER ON vs OFF"
ENSG00000272398_CD24,matched::24 h Ctrl__vs__24 h Tam,matched,24 h Ctrl,24 h Tam,34,48,-14,head,matched::24 h D__vs__24 h DT,matched,24 h D,24 h DT,50,73,-23,head,"Dox OFF: Tam vs Ctrl
Tam/MYC-ER ON vs OFF","Dox ON: DT vs D
Tam/MYC-ER ON vs OFF"
ENSG00000148303_RPL7A,matched::24 h Ctrl__vs__24 h Tam,matched,24 h Ctrl,24 h Tam,35,35,0,head,matched::24 h D__vs__24 h DT,matched,24 h D,24 h DT,38,44,-6,head,"Dox OFF: Tam vs Ctrl
Tam/MYC-ER ON vs OFF","Dox ON: DT vs D
Tam/MYC-ER ON vs OFF"
ENSG00000109971_HSPA8,matched::24 h Ctrl__vs__24 h Tam,matched,24 h Ctrl,24 h Tam,36,34,2,head,matched::24 h D__vs__24 h DT,matched,24 h D,24 h DT,36,39,-3,head,"Dox OFF: Tam vs Ctrl
Tam/MYC-ER ON vs OFF","Dox ON: DT vs D
Tam/MYC-ER ON vs OFF"
ENSG00000117984_CTSD,matched::24 h Ctrl__vs__24 h Tam,matched,24 h Ctrl,24 h Tam,37,45,-8,head,matched::24 h D__vs__24 h DT,matched,24 h D,24 h DT,37,32,5,head,"Dox OFF: Tam vs Ctrl
Tam/MYC-ER ON vs OFF","Dox ON: DT vs D
Tam/MYC-ER ON vs OFF"
ENSG00000167526_RPL13,matched::24 h Ctrl__vs__24 h Tam,matched,24 h Ctrl,24 h Tam,38,37,1,head,matched::24 h D__vs__24 h DT,matched,24 h D,24 h DT,41,55,-14,head,"Dox OFF: Tam vs Ctrl
Tam/MYC-ER ON vs OFF","Dox ON: DT vs D
Tam/MYC-ER ON vs OFF"
ENSG00000178209_PLEC,matched::24 h Ctrl__vs__24 h Tam,matched,24 h Ctrl,24 h Tam,39,36,3,head,matched::24 h D__vs__24 h DT,matched,24 h D,24 h DT,21,16,5,head,"Dox OFF: Tam vs Ctrl
Tam/MYC-ER ON vs OFF","Dox ON: DT vs D
Tam/MYC-ER ON vs OFF"
ENSG00000174748_RPL15,matched::24 h Ctrl__vs__24 h Tam,matched,24 h Ctrl,24 h Tam,40,43,-3,head,matched::24 h D__vs__24 h DT,matched,24 h D,24 h DT,53,74,-21,head,"Dox OFF: Tam vs Ctrl
Tam/MYC-ER ON vs OFF","Dox ON: DT vs D
Tam/MYC-ER ON vs OFF"
ENSG00000137154_RPS6,matched::24 h Ctrl__vs__24 h Tam,matched,24 h Ctrl,24 h Tam,41,38,3,head,matched::24 h D__vs__24 h DT,matched,24 h D,24 h DT,43,59,-16,head,"Dox OFF: Tam vs Ctrl
Tam/MYC-ER ON vs OFF","Dox ON: DT vs D
Tam/MYC-ER ON vs OFF"
ENSG00000204628_RACK1,matched::24 h Ctrl__vs__24 h Tam,matched,24 h Ctrl,24 h Tam,42,42,0,head,matched::24 h D__vs__24 h DT,matched,24 h D,24 h DT,49,63,-14,head,"Dox OFF: Tam vs Ctrl
Tam/MYC-ER ON vs OFF","Dox ON: DT vs D
Tam/MYC-ER ON vs OFF"
ENSG00000145425_RPS3A,matched::24 h Ctrl__vs__24 h Tam,matched,24 h Ctrl,24 h Tam,43,41,2,head,matched::24 h D__vs__24 h DT,matched,24 h D,24 h DT,51,69,-18,head,"Dox OFF: Tam vs Ctrl
Tam/MYC-ER ON vs OFF","Dox ON: DT vs D
Tam/MYC-ER ON vs OFF"
ENSG00000149273_RPS3,matched::24 h Ctrl__vs__24 h Tam,matched,24 h Ctrl,24 h Tam,44,40,4,head,matched::24 h D__vs__24 h DT,matched,24 h D,24 h DT,48,62,-14,head,"Dox OFF: Tam vs Ctrl
Tam/MYC-ER ON vs OFF","Dox ON: DT vs D
Tam/MYC-ER ON vs OFF"
ENSG00000229117_RPL41,matched::24 h Ctrl__vs__24 h Tam,matched,24 h Ctrl,24 h Tam,45,50,-5,head,matched::24 h D__vs__24 h DT,matched,24 h D,24 h DT,65,76,-11,head,"Dox OFF: Tam vs Ctrl
Tam/MYC-ER ON vs OFF","Dox ON: DT vs D
Tam/MYC-ER ON vs OFF"
ENSG00000067225_PKM,matched::24 h Ctrl__vs__24 h Tam,matched,24 h Ctrl,24 h Tam,46,49,-3,head,matched::24 h D__vs__24 h DT,matched,24 h D,24 h DT,44,54,-10,head,"Dox OFF: Tam vs Ctrl
Tam/MYC-ER ON vs OFF","Dox ON: DT vs D
Tam/MYC-ER ON vs OFF"
ENSG00000099194_SCD,matched::24 h Ctrl__vs__24 h Tam,matched,24 h Ctrl,24 h Tam,47,25,22,head,matched::24 h D__vs__24 h DT,matched,24 h D,24 h DT,35,49,-14,head,"Dox OFF: Tam vs Ctrl
Tam/MYC-ER ON vs OFF","Dox ON: DT vs D
Tam/MYC-ER ON vs OFF"
