gene,ensg,baseline_expr,baseline_tpm,A_expr,B_expr,lfc,rank,band,updown,p_value,fdr,expr_scale
ENSG00000013573_DDX11,ENSG00000013573,827.645517761178,827.645517761178,808.327740376427,827.645517761178,-0.0340310243137729,6081,mid,Neutral,,,normcounts
ENSG00000128016_ZFP36,ENSG00000128016,827.386791939033,827.386791939033,789.173623405285,827.386791939033,-0.0681348620909308,6082,mid,Neutral,,,normcounts
ENSG00000117691_NENF,ENSG00000117691,827.364293169453,827.364293169453,864.827464116078,827.364293169453,0.0638141964755334,6083,mid,Neutral,,,normcounts
ENSG00000232677_LINC00665,ENSG00000232677,827.3071458936,827.3071458936,988.132435023969,827.3071458936,0.255997861491837,6084,mid,Neutral,,,normcounts
ENSG00000174669_SLC29A2,ENSG00000174669,827.161812265653,827.161812265653,1014.32290481043,827.161812265653,0.2939540384513,6085,mid,Neutral,,,normcounts
ENSG00000131759_RARA,ENSG00000131759,827.066197508949,827.066197508949,694.521562301549,827.066197508949,-0.251650863324162,6086,mid,Neutral,,,normcounts
ENSG00000135297_MTO1,ENSG00000135297,827.038075049777,827.038075049777,859.793202198409,827.038075049777,0.0559695771726485,6087,mid,Neutral,,,normcounts
ENSG00000092871_RFFL,ENSG00000092871,826.807467675596,826.807467675596,688.547369101936,826.807467675596,-0.263645600791705,6088,mid,Neutral,,,normcounts
ENSG00000105755_ETHE1,ENSG00000105755,826.751222757251,826.751222757251,786.547242064813,826.751222757251,-0.0718307687091624,6089,mid,Neutral,,,normcounts
ENSG00000112561_TFEB,ENSG00000112561,826.526243083872,826.526243083872,858.10424331409,826.526243083872,0.0540281335514177,6090,mid,Neutral,,,normcounts
ENSG00000087586_AURKA,ENSG00000087586,826.278315387538,826.278315387538,772.310906948394,826.278315387538,-0.0973242054555659,6091,mid,Neutral,,,normcounts
ENSG00000185015_CA13,ENSG00000185015,825.643195459131,825.643195459131,709.73975404096,825.643195459131,-0.217943356054935,6092,mid,Neutral,,,normcounts
