gene,ensg,baseline_expr,baseline_tpm,A_expr,B_expr,lfc,rank,band,updown,p_value,fdr,expr_scale
ENSG00000231500_RPS18,ENSG00000231500,33047.7645308428,33047.7645308428,31962.4878853515,33047.7645308428,-0.0481714950856738,65,head,Neutral,,,normcounts
ENSG00000147403_RPL10,ENSG00000147403,32677.3967093927,32677.3967093927,29709.8075287249,32677.3967093927,-0.137349385073517,66,head,Neutral,,,normcounts
ENSG00000187514_PTMA,ENSG00000187514,32223.7075407567,32223.7075407567,36942.4077729581,32223.7075407567,0.197149685770441,67,head,Neutral,,,normcounts
ENSG00000167653_PSCA,ENSG00000167653,31616.4243824799,31616.4243824799,24133.1229758416,31616.4243824799,-0.389645446922581,68,head,Down,,,normcounts
ENSG00000142937_RPS8,ENSG00000142937,31326.6218510599,31326.6218510599,32011.4518282341,31326.6218510599,0.0311979211827502,69,head,Neutral,,,normcounts
ENSG00000135486_HNRNPA1,ENSG00000135486,31265.4963765147,31265.4963765147,31349.9264084426,31265.4963765147,0.00389051023704212,70,head,Neutral,,,normcounts
ENSG00000197958_RPL12,ENSG00000197958,29927.3609854972,29927.3609854972,27737.5675448136,29927.3609854972,-0.109619985429076,71,head,Neutral,,,normcounts
ENSG00000163399_ATP1A1,ENSG00000163399,29620.9184494972,29620.9184494972,31366.16588078,29620.9184494972,0.082590104055134,72,head,Neutral,,,normcounts
ENSG00000149925_ALDOA,ENSG00000149925,29560.1028889043,29560.1028889043,27359.5913252409,29560.1028889043,-0.111600685175542,73,head,Neutral,,,normcounts
ENSG00000013588_GPRC5A,ENSG00000013588,29331.599687752,29331.599687752,50418.5777619232,29331.599687752,0.7814790965725,74,head,Up,,,normcounts
ENSG00000089009_RPL6,ENSG00000089009,29263.261939481,29263.261939481,28160.8018735514,29263.261939481,-0.0554002488468495,75,head,Neutral,,,normcounts
ENSG00000105640_RPL18A,ENSG00000105640,28917.1975464455,28917.1975464455,28684.0866722277,28917.1975464455,-0.0116767556808579,76,head,Neutral,,,normcounts
ENSG00000162244_RPL29,ENSG00000162244,28734.5080950412,28734.5080950412,27570.0383873115,28734.5080950412,-0.059680955309533,77,head,Neutral,,,normcounts
ENSG00000166825_ANPEP,ENSG00000166825,28230.2546164545,28230.2546164545,23812.8759730046,28230.2546164545,-0.245490790203323,78,head,Neutral,,,normcounts
ENSG00000106211_HSPB1,ENSG00000106211,28062.9987955135,28062.9987955135,21914.7626033335,28062.9987955135,-0.356751709744813,79,head,Down,,,normcounts
ENSG00000122406_RPL5,ENSG00000122406,28008.3792397859,28008.3792397859,27378.4559040086,28008.3792397859,-0.0328162328751791,80,head,Neutral,,,normcounts
ENSG00000185567_AHNAK2,ENSG00000185567,27560.393262549,27560.393262549,25857.8854537887,27560.393262549,-0.0919887251500029,81,head,Neutral,,,normcounts
ENSG00000198242_RPL23A,ENSG00000198242,27560.1401764613,27560.1401764613,25679.2116754111,27560.1401764613,-0.101978477834606,82,head,Neutral,,,normcounts
ENSG00000197956_S100A6,ENSG00000197956,27511.1619595698,27511.1619595698,26890.4324557388,27511.1619595698,-0.0329229070171326,83,head,Neutral,,,normcounts
ENSG00000196262_PPIA,ENSG00000196262,27338.864761914,27338.864761914,27503.4186898566,27338.864761914,0.00865730512825458,84,head,Neutral,,,normcounts
ENSG00000186468_RPS23,ENSG00000186468,27119.2804006958,27119.2804006958,24589.7894285271,27119.2804006958,-0.141254044840469,85,head,Neutral,,,normcounts
ENSG00000196136_SERPINA3,ENSG00000196136,27038.1357342566,27038.1357342566,23882.3578509892,27038.1357342566,-0.179043353979209,86,head,Neutral,,,normcounts
ENSG00000127022_CANX,ENSG00000127022,26952.7445684599,26952.7445684599,28021.2829181366,26952.7445684599,0.0560887796205893,87,head,Neutral,,,normcounts
ENSG00000197756_RPL37A,ENSG00000197756,26737.9672507475,26737.9672507475,25214.2861059756,26737.9672507475,-0.0846451497814549,88,head,Neutral,,,normcounts
ENSG00000144713_RPL32,ENSG00000144713,26569.8734037882,26569.8734037882,24093.019882858,26569.8734037882,-0.141170535946095,89,head,Neutral,,,normcounts
ENSG00000205420_KRT6A,ENSG00000205420,26551.0245010975,26551.0245010975,41880.9218238913,26551.0245010975,0.657505778538493,90,head,Up,,,normcounts
ENSG00000164924_YWHAZ,ENSG00000164924,26548.8996689239,26548.8996689239,27259.1810449269,26548.8996689239,0.0380887344961316,91,head,Neutral,,,normcounts
ENSG00000125691_RPL23,ENSG00000125691,26051.2661955658,26051.2661955658,23897.5899599292,26051.2661955658,-0.124483372655416,92,head,Neutral,,,normcounts
ENSG00000136068_FLNB,ENSG00000136068,25887.5706514822,25887.5706514822,34827.8797094181,25887.5706514822,0.427968754585445,93,head,Up,,,normcounts
ENSG00000138326_RPS24,ENSG00000138326,25574.5896100705,25574.5896100705,23570.6506279645,25574.5896100705,-0.117714711444156,94,head,Neutral,,,normcounts
ENSG00000182774_RPS17,ENSG00000182774,25510.5377430289,25510.5377430289,25010.7897870852,25510.5377430289,-0.0285415647837581,95,head,Neutral,,,normcounts
ENSG00000118849_RARRES1,ENSG00000118849,25314.6419711591,25314.6419711591,20425.7559670579,25314.6419711591,-0.309568965909692,96,head,Neutral,,,normcounts
ENSG00000163682_RPL9,ENSG00000163682,24923.8178424218,24923.8178424218,22996.8766385812,24923.8178424218,-0.116082295714858,97,head,Neutral,,,normcounts
ENSG00000110321_EIF4G2,ENSG00000110321,24918.8851646874,24918.8851646874,26391.0863784843,24918.8851646874,0.0828079846312093,98,head,Neutral,,,normcounts
ENSG00000143947_RPS27A,ENSG00000143947,24735.0130075985,24735.0130075985,23651.553323007,24735.0130075985,-0.0646170503030419,99,head,Neutral,,,normcounts
ENSG00000137818_RPLP1,ENSG00000137818,24320.3705578931,24320.3705578931,23860.6539593076,24320.3705578931,-0.0275304835979497,100,head,Neutral,,,normcounts
ENSG00000108298_RPL19,ENSG00000108298,24277.8540367211,24277.8540367211,23351.8413633245,24277.8540367211,-0.0561022331651646,101,head,Neutral,,,normcounts
ENSG00000122026_RPL21,ENSG00000122026,24013.3852841429,24013.3852841429,22062.7819986961,24013.3852841429,-0.12221877172362,102,head,Neutral,,,normcounts
ENSG00000212907_MT-ND4L,ENSG00000212907,23803.6646140308,23803.6646140308,22201.0359482569,23803.6646140308,-0.10055232360493,103,head,Neutral,,,normcounts
ENSG00000074800_ENO1,ENSG00000074800,23499.4566729519,23499.4566729519,25047.728842411,23499.4566729519,0.0920486000173479,104,head,Neutral,,,normcounts
ENSG00000116133_DHCR24,ENSG00000116133,23330.8687594306,23330.8687594306,23352.5479115746,23330.8687594306,0.0013398791214545,105,head,Neutral,,,normcounts
ENSG00000096060_FKBP5,ENSG00000096060,23246.6024719447,23246.6024719447,21472.3778552474,23246.6024719447,-0.114532787357954,106,head,Neutral,,,normcounts
ENSG00000115306_SPTBN1,ENSG00000115306,23077.2543095562,23077.2543095562,25476.7032565121,23077.2543095562,0.142701129092991,107,head,Neutral,,,normcounts
ENSG00000115053_NCL,ENSG00000115053,23032.6238906365,23032.6238906365,29640.4823781973,23032.6238906365,0.363876190137789,108,head,Up,,,normcounts
ENSG00000168209_DDIT4,ENSG00000168209,22957.761743871,22957.761743871,22042.5645813614,22957.761743871,-0.058687298380109,109,head,Neutral,,,normcounts
ENSG00000142192_APP,ENSG00000142192,22838.1286019909,22838.1286019909,21670.4274969322,22838.1286019909,-0.0757134206656698,110,head,Neutral,,,normcounts
ENSG00000197746_PSAP,ENSG00000197746,22260.3347121637,22260.3347121637,19799.5054588925,22260.3347121637,-0.169002834966244,111,head,Neutral,,,normcounts
ENSG00000110955_ATP5F1B,ENSG00000110955,22134.3571298562,22134.3571298562,21012.5533482524,22134.3571298562,-0.0750325105589464,112,head,Neutral,,,normcounts
ENSG00000161970_RPL26,ENSG00000161970,21924.8443838332,21924.8443838332,20161.0035286944,21924.8443838332,-0.120993394470151,113,head,Neutral,,,normcounts
ENSG00000164587_RPS14,ENSG00000164587,21858.7002114448,21858.7002114448,20395.4302693022,21858.7002114448,-0.0999569382011032,114,head,Neutral,,,normcounts
ENSG00000105193_RPS16,ENSG00000105193,21721.7211199,21721.7211199,21506.270053286,21721.7211199,-0.01438042203986,115,head,Neutral,,,normcounts
ENSG00000166598_HSP90B1,ENSG00000166598,21706.2818898143,21706.2818898143,27368.6532526622,21706.2818898143,0.334398069234688,116,head,Up,,,normcounts
ENSG00000142534_RPS11,ENSG00000142534,21633.5176359843,21633.5176359843,20596.3259332625,21633.5176359843,-0.0708779043774968,117,head,Neutral,,,normcounts
ENSG00000265681_RPL17,ENSG00000265681,21160.3057847912,21160.3057847912,20230.1954948973,21160.3057847912,-0.0648470798393213,118,head,Neutral,,,normcounts
