timepoint	condition	x	density
4h	Ctrl	6.322580645161291	0.05267785381298206
4h	Ctrl	6.344086021505377	0.05262696874884562
4h	Ctrl	6.365591397849463	0.05257017802236321
4h	Ctrl	6.387096774193549	0.05250944949323566
4h	Ctrl	6.408602150537635	0.052446965375179636
4h	Ctrl	6.430107526881721	0.052384791783147956
4h	Ctrl	6.451612903225807	0.052324958905453335
4h	Ctrl	6.473118279569893	0.05226925302794991
4h	Ctrl	6.494623655913979	0.052220231614929905
4h	Ctrl	6.516129032258065	0.052180012216168054
4h	Ctrl	6.537634408602151	0.052150812727596516
4h	Ctrl	6.559139784946237	0.05213410445372109
4h	Ctrl	6.580645161290323	0.05213142000381871
4h	Ctrl	6.602150537634409	0.05214449148053763
4h	Ctrl	6.623655913978495	0.0521744383887684
4h	Ctrl	6.645161290322581	0.05222184423960517
4h	Ctrl	6.666666666666667	0.052287647533071496
4h	Ctrl	6.688172043010753	0.052372335446035354
4h	Ctrl	6.709677419354839	0.052476213016950345
4h	Ctrl	6.731182795698925	0.052599192283711765
4h	Ctrl	6.752688172043011	0.052742161327653705
4h	Ctrl	6.774193548387097	0.05290436145835281
4h	Ctrl	6.795698924731183	0.05308614417417309
4h	Ctrl	6.817204301075269	0.05328702223502389
4h	Ctrl	6.838709677419355	0.05350674959331416
4h	Ctrl	6.860215053763441	0.05374613364534931
4h	Ctrl	6.881720430107528	0.054004390008329045
4h	Ctrl	6.903225806451614	0.0542818059180583
4h	Ctrl	6.9247311827957	0.05457824427567272
4h	Ctrl	6.946236559139786	0.05489441481677253
4h	Ctrl	6.967741935483872	0.055230987463830705
4h	Ctrl	6.989247311827958	0.05558671007719297
4h	Ctrl	7.010752688172044	0.05596285589120266
4h	Ctrl	7.03225806451613	0.05635936908757363
4h	Ctrl	7.053763440860216	0.056776439598614004
4h	Ctrl	7.075268817204302	0.05721436222457222
4h	Ctrl	7.096774193548388	0.05767306474384318
4h	Ctrl	7.118279569892474	0.05815229792143286
4h	Ctrl	7.13978494623656	0.05865186860527296
4h	Ctrl	7.161290322580646	0.05917147546681895
4h	Ctrl	7.182795698924732	0.05971037980591467
4h	Ctrl	7.204301075268818	0.06026788052470307
4h	Ctrl	7.225806451612904	0.06084334218565136
4h	Ctrl	7.24731182795699	0.061435806663486345
4h	Ctrl	7.268817204301076	0.062044448204056954
4h	Ctrl	7.290322580645162	0.06266726331614503
4h	Ctrl	7.311827956989248	0.06330355257043947
4h	Ctrl	7.333333333333334	0.06395222416735744
4h	Ctrl	7.35483870967742	0.06461124675332744
4h	Ctrl	7.376344086021506	0.06527968362139176
4h	Ctrl	7.397849462365592	0.0659564176531196
4h	Ctrl	7.419354838709678	0.0666401029272108
4h	Ctrl	7.440860215053764	0.06732937184327867
4h	Ctrl	7.46236559139785	0.06802351752397912
4h	Ctrl	7.483870967741936	0.06872139482659971
4h	Ctrl	7.505376344086022	0.06942250435176693
4h	Ctrl	7.526881720430108	0.07012598318185116
4h	Ctrl	7.548387096774194	0.07083194497155156
4h	Ctrl	7.56989247311828	0.07154000318215474
4h	Ctrl	7.591397849462366	0.0722504785651122
4h	Ctrl	7.612903225806452	0.07296376189302584
4h	Ctrl	7.634408602150538	0.07367962033115007
4h	Ctrl	7.655913978494624	0.07439956141885584
4h	Ctrl	7.67741935483871	0.07512437337241519
4h	Ctrl	7.698924731182796	0.07585485056949742
4h	Ctrl	7.720430107526882	0.07659175875027589
4h	Ctrl	7.741935483870968	0.07733677403183156
4h	Ctrl	7.763440860215054	0.07809160210378216
4h	Ctrl	7.78494623655914	0.07885664709768989
4h	Ctrl	7.806451612903227	0.0796333684404259
4h	Ctrl	7.827956989247313	0.08042239665171602
4h	Ctrl	7.849462365591399	0.08122507694920103
4h	Ctrl	7.870967741935485	0.08204251013026974
4h	Ctrl	7.892473118279571	0.08287362875334797
4h	Ctrl	7.913978494623657	0.08372032821131833
4h	Ctrl	7.935483870967743	0.0845813477666725
4h	Ctrl	7.956989247311829	0.08545747810251621
4h	Ctrl	7.978494623655915	0.08634789015224688
4h	Ctrl	8.0	0.08725186106525343
4h	Ctrl	8.021505376344086	0.08816828876080784
4h	Ctrl	8.043010752688172	0.08909655919899849
4h	Ctrl	8.064516129032258	0.09003584919901185
4h	Ctrl	8.086021505376344	0.09098449345232908
4h	Ctrl	8.10752688172043	0.09194183141184466
4h	Ctrl	8.129032258064516	0.09290636333807717
4h	Ctrl	8.150537634408602	0.09387679990011298
4h	Ctrl	8.172043010752688	0.09485217611941256
4h	Ctrl	8.193548387096774	0.09583234941224618
4h	Ctrl	8.21505376344086	0.09681553457840515
4h	Ctrl	8.236559139784946	0.09780142048502818
4h	Ctrl	8.258064516129032	0.09878934780995723
4h	Ctrl	8.27956989247312	0.0997780996068868
4h	Ctrl	8.301075268817206	0.10076804247149537
4h	Ctrl	8.322580645161292	0.1017580662259338
4h	Ctrl	8.344086021505378	0.10274782949098156
4h	Ctrl	8.365591397849464	0.10373627763066555
4h	Ctrl	8.38709677419355	0.10472349440637711
4h	Ctrl	8.408602150537636	0.10570816971443825
4h	Ctrl	8.430107526881722	0.1066903804296663
4h	Ctrl	8.451612903225808	0.10766946713291116
4h	Ctrl	8.473118279569894	0.10864567286374324
4h	Ctrl	8.49462365591398	0.10961786565651989
