contrast_id	timepoint	numerator	denominator	x	delta_density
D_vs_Ctrl_4h	4h	D	Ctrl	2.1075268817204305	0.0015049789732382718
D_vs_Ctrl_4h	4h	D	Ctrl	2.1290322580645165	0.001599256691184145
D_vs_Ctrl_4h	4h	D	Ctrl	2.1505376344086025	0.0016982218808814925
D_vs_Ctrl_4h	4h	D	Ctrl	2.1720430107526885	0.0017984518216668383
D_vs_Ctrl_4h	4h	D	Ctrl	2.1935483870967745	0.0019005484334356365
D_vs_Ctrl_4h	4h	D	Ctrl	2.2150537634408605	0.001998856415209832
D_vs_Ctrl_4h	4h	D	Ctrl	2.2365591397849465	0.0020921311947082882
D_vs_Ctrl_4h	4h	D	Ctrl	2.2580645161290325	0.0021813323739729717
D_vs_Ctrl_4h	4h	D	Ctrl	2.2795698924731185	0.0022648548645038957
D_vs_Ctrl_4h	4h	D	Ctrl	2.3010752688172045	0.00234260531341883
D_vs_Ctrl_4h	4h	D	Ctrl	2.3225806451612905	0.002411625466952144
D_vs_Ctrl_4h	4h	D	Ctrl	2.3440860215053765	0.002471827025808948
D_vs_Ctrl_4h	4h	D	Ctrl	2.3655913978494625	0.0025243815061153224
D_vs_Ctrl_4h	4h	D	Ctrl	2.3870967741935485	0.0025661829982662476
D_vs_Ctrl_4h	4h	D	Ctrl	2.4086021505376345	0.00260158647333715
D_vs_Ctrl_4h	4h	D	Ctrl	2.4301075268817205	0.0026304365942755453
D_vs_Ctrl_4h	4h	D	Ctrl	2.4516129032258065	0.0026503935156538816
D_vs_Ctrl_4h	4h	D	Ctrl	2.4731182795698925	0.0026633048705467094
D_vs_Ctrl_4h	4h	D	Ctrl	2.4946236559139785	0.0026706937938102693
D_vs_Ctrl_4h	4h	D	Ctrl	2.5161290322580645	0.002675303496344164
D_vs_Ctrl_4h	4h	D	Ctrl	2.537634408602151	0.002675046819972063
D_vs_Ctrl_4h	4h	D	Ctrl	2.559139784946237	0.0026761139276158946
D_vs_Ctrl_4h	4h	D	Ctrl	2.580645161290323	0.002673981223509994
D_vs_Ctrl_4h	4h	D	Ctrl	2.602150537634409	0.002671345332417585
D_vs_Ctrl_4h	4h	D	Ctrl	2.623655913978495	0.002670886775837128
D_vs_Ctrl_4h	4h	D	Ctrl	2.645161290322581	0.0026677163513056934
D_vs_Ctrl_4h	4h	D	Ctrl	2.666666666666667	0.0026637536578737186
D_vs_Ctrl_4h	4h	D	Ctrl	2.688172043010753	0.0026521045456776166
D_vs_Ctrl_4h	4h	D	Ctrl	2.709677419354839	0.0026355526243294486
D_vs_Ctrl_4h	4h	D	Ctrl	2.731182795698925	0.002609860126201513
D_vs_Ctrl_4h	4h	D	Ctrl	2.752688172043011	0.0025763045786393185
D_vs_Ctrl_4h	4h	D	Ctrl	2.774193548387097	0.0025295121403216547
D_vs_Ctrl_4h	4h	D	Ctrl	2.795698924731183	0.0024707414288704793
D_vs_Ctrl_4h	4h	D	Ctrl	2.817204301075269	0.0023949784493011023
D_vs_Ctrl_4h	4h	D	Ctrl	2.838709677419355	0.0023019114979954403
