gene_id	log_expression	timepoint	condition
ENSG00000007866_TEAD3	9.377921773504632	4h	Ctrl
ENSG00000007923_DNAJC11	10.005272385592555	4h	Ctrl
ENSG00000007944_MYLIP	7.4574589853640925	4h	Ctrl
ENSG00000007968_E2F2	9.211074801113433	4h	Ctrl
ENSG00000008018_PSMB1	10.98822999167736	4h	Ctrl
ENSG00000008083_JARID2	9.378854078014285	4h	Ctrl
ENSG00000008086_CDKL5	8.801108384775464	4h	Ctrl
ENSG00000008128_CDK11A	7.416618514286478	4h	Ctrl
ENSG00000008130_NADK	10.264037151967589	4h	Ctrl
ENSG00000008226_DLEC1	1.4294969230471335	4h	Ctrl
ENSG00000008256_CYTH3	9.647239282658626	4h	Ctrl
ENSG00000008282_SYPL1	11.980924561822425	4h	Ctrl
ENSG00000008283_CYB561	11.32489883909568	4h	Ctrl
ENSG00000008294_SPAG9	11.323598094442252	4h	Ctrl
ENSG00000008300_CELSR3	10.219531586080809	4h	Ctrl
ENSG00000008311_AASS	7.338515123525274	4h	Ctrl
ENSG00000008323_PLEKHG6	7.294034934977652	4h	Ctrl
ENSG00000008324_SS18L2	8.713679917207205	4h	Ctrl
ENSG00000008382_MPND	7.622493510739346	4h	Ctrl
ENSG00000008394_MGST1	13.408424099968004	4h	Ctrl
ENSG00000008405_CRY1	8.734330933938601	4h	Ctrl
ENSG00000008441_NFIX	11.731939645846673	4h	Ctrl
ENSG00000008513_ST3GAL1	11.335442783343572	4h	Ctrl
ENSG00000008516_MMP25	4.931948806520628	4h	Ctrl
ENSG00000008517_IL32	8.161330976069605	4h	Ctrl
ENSG00000008710_PKD1	11.547110558859652	4h	Ctrl
ENSG00000008735_MAPK8IP2	3.8187433007242886	4h	Ctrl
ENSG00000008838_MED24	10.359921829650169	4h	Ctrl
ENSG00000008853_RHOBTB2	10.280094140571743	4h	Ctrl
ENSG00000008869_HEATR5B	10.495344009976252	4h	Ctrl
ENSG00000008952_SEC62	11.51691478351137	4h	Ctrl
ENSG00000008988_RPS20	13.919926716308117	4h	Ctrl
ENSG00000009307_CSDE1	14.06219204725313	4h	Ctrl
ENSG00000009335_UBE3C	12.02283083032173	4h	Ctrl
ENSG00000009413_REV3L	10.57686499585145	4h	Ctrl
ENSG00000009694_TENM1	4.794026288545342	4h	Ctrl
ENSG00000009724_MASP2	1.1915847168372722	4h	Ctrl
ENSG00000009765_IYD	0.8631341305616582	4h	Ctrl
ENSG00000009780_FAM76A	8.393176765457651	4h	Ctrl
ENSG00000009830_POMT2	9.12370056071727	4h	Ctrl
ENSG00000009844_VTA1	10.706433484581332	4h	Ctrl
ENSG00000009950_MLXIPL	2.803827057640455	4h	Ctrl
ENSG00000009954_BAZ1B	11.958284629034956	4h	Ctrl
ENSG00000010017_RANBP9	10.30178580812538	4h	Ctrl
ENSG00000010030_ETV7	3.251445706856123	4h	Ctrl
ENSG00000010072_SPRTN	9.239696400793697	4h	Ctrl
