contrast_id	timepoint	numerator	denominator	x	ci_low	ci_high
D_vs_Ctrl_4h	4h	D	Ctrl	3.806451612903226	-0.006828208811580435	0.003885658071621912
D_vs_Ctrl_4h	4h	D	Ctrl	3.827956989247312	-0.0067386000904750745	0.0038881208276954913
D_vs_Ctrl_4h	4h	D	Ctrl	3.849462365591398	-0.006695759797555978	0.003908081078124454
D_vs_Ctrl_4h	4h	D	Ctrl	3.870967741935484	-0.006653589734513218	0.003874245532551163
D_vs_Ctrl_4h	4h	D	Ctrl	3.89247311827957	-0.006649871734007165	0.003848897981188312
D_vs_Ctrl_4h	4h	D	Ctrl	3.9139784946236564	-0.006680318542595379	0.0038532550142043012
D_vs_Ctrl_4h	4h	D	Ctrl	3.9354838709677424	-0.006638547216103292	0.0038029139470735058
D_vs_Ctrl_4h	4h	D	Ctrl	3.9569892473118284	-0.006656810645822915	0.0037861312067905325
D_vs_Ctrl_4h	4h	D	Ctrl	3.9784946236559144	-0.006631380747624996	0.003764434892738866
D_vs_Ctrl_4h	4h	D	Ctrl	4.0	-0.006666659510283103	0.0036759366490195806
D_vs_Ctrl_4h	4h	D	Ctrl	4.021505376344086	-0.006639200013334502	0.003696360263091414
D_vs_Ctrl_4h	4h	D	Ctrl	4.043010752688172	-0.006660807622110961	0.0036518412611781354
D_vs_Ctrl_4h	4h	D	Ctrl	4.064516129032258	-0.006606819984593502	0.0036648274341857198
D_vs_Ctrl_4h	4h	D	Ctrl	4.086021505376344	-0.006641180101375172	0.0036197601312477285
D_vs_Ctrl_4h	4h	D	Ctrl	4.10752688172043	-0.006664818143536245	0.0036211226672933994
D_vs_Ctrl_4h	4h	D	Ctrl	4.129032258064516	-0.006701582635447939	0.0035988213479205347
D_vs_Ctrl_4h	4h	D	Ctrl	4.150537634408603	-0.0067209306435268385	0.003554057095686995
D_vs_Ctrl_4h	4h	D	Ctrl	4.172043010752689	-0.006691091021454674	0.003568802487948175
D_vs_Ctrl_4h	4h	D	Ctrl	4.193548387096775	-0.006704398799723101	0.003579957707747473
D_vs_Ctrl_4h	4h	D	Ctrl	4.215053763440861	-0.006619843674030851	0.003623667866049523
D_vs_Ctrl_4h	4h	D	Ctrl	4.236559139784947	-0.006647892841434064	0.003625212916739496
D_vs_Ctrl_4h	4h	D	Ctrl	4.258064516129033	-0.006612637469302388	0.0036989198499657243
D_vs_Ctrl_4h	4h	D	Ctrl	4.279569892473119	-0.0066256793814783626	0.003709958589336233
D_vs_Ctrl_4h	4h	D	Ctrl	4.301075268817205	-0.006513291463141486	0.003760017368760965
D_vs_Ctrl_4h	4h	D	Ctrl	4.322580645161291	-0.006446432754837413	0.0038047616264830953
D_vs_Ctrl_4h	4h	D	Ctrl	4.344086021505377	-0.0063740963751931865	0.0038848416307751196
D_vs_Ctrl_4h	4h	D	Ctrl	4.365591397849463	-0.006320109728190376	0.004006116979375035
D_vs_Ctrl_4h	4h	D	Ctrl	4.387096774193549	-0.006220059020406751	0.004117776885223556
D_vs_Ctrl_4h	4h	D	Ctrl	4.408602150537635	-0.006167208600793717	0.004205280673142773
D_vs_Ctrl_4h	4h	D	Ctrl	4.430107526881721	-0.006082487532922689	0.004254610156895971
D_vs_Ctrl_4h	4h	D	Ctrl	4.451612903225807	-0.00596621424138048	0.004397018599702019
D_vs_Ctrl_4h	4h	D	Ctrl	4.473118279569893	-0.005844094762839655	0.004483390210708836
D_vs_Ctrl_4h	4h	D	Ctrl	4.494623655913979	-0.005694888275203318	0.00466031236859528
D_vs_Ctrl_4h	4h	D	Ctrl	4.516129032258065	-0.005535500860354179	0.0048452091361784145
D_vs_Ctrl_4h	4h	D	Ctrl	4.537634408602151	-0.005397510508234413	0.004931118718552079
D_vs_Ctrl_4h	4h	D	Ctrl	4.559139784946237	-0.005211413475799698	0.005050641354720552
D_vs_Ctrl_4h	4h	D	Ctrl	4.580645161290323	-0.005075158646413999	0.005164145333944694
D_vs_Ctrl_4h	4h	D	Ctrl	4.602150537634409	-0.004962988171485934	0.005250401236809417
D_vs_Ctrl_4h	4h	D	Ctrl	4.623655913978495	-0.0049155333463628366	0.005331884940182644
D_vs_Ctrl_4h	4h	D	Ctrl	4.645161290322581	-0.004815680986377203	0.005387242869940841
D_vs_Ctrl_4h	4h	D	Ctrl	4.666666666666667	-0.004751397880782077	0.005493757806970802
D_vs_Ctrl_4h	4h	D	Ctrl	4.688172043010753	-0.004662192135591945	0.005526549703174088
D_vs_Ctrl_4h	4h	D	Ctrl	4.709677419354839	-0.0046282821132837895	0.005512866074452083
D_vs_Ctrl_4h	4h	D	Ctrl	4.731182795698925	-0.004579458319806207	0.005537387757331899
D_vs_Ctrl_4h	4h	D	Ctrl	4.752688172043011	-0.004587847140409348	0.0054898573217165595
D_vs_Ctrl_4h	4h	D	Ctrl	4.774193548387097	-0.004611749309222388	0.005447325211074004
D_vs_Ctrl_4h	4h	D	Ctrl	4.795698924731183	-0.004632493009275308	0.0053859328363048435
D_vs_Ctrl_4h	4h	D	Ctrl	4.817204301075269	-0.004711690852484372	0.005240856260738093
D_vs_Ctrl_4h	4h	D	Ctrl	4.838709677419355	-0.004756131886166807	0.005172565076821397
D_vs_Ctrl_4h	4h	D	Ctrl	4.860215053763441	-0.004820600668721588	0.005105350691672298
D_vs_Ctrl_4h	4h	D	Ctrl	4.881720430107527	-0.0048773616307364025	0.00501378153086963
D_vs_Ctrl_4h	4h	D	Ctrl	4.903225806451613	-0.00496437094091927	0.0049197758392607776
D_vs_Ctrl_4h	4h	D	Ctrl	4.924731182795699	-0.005079161109466661	0.004872442310974827
D_vs_Ctrl_4h	4h	D	Ctrl	4.946236559139785	-0.005149172239201296	0.004756750725100791
D_vs_Ctrl_4h	4h	D	Ctrl	4.967741935483871	-0.0052352985336654835	0.004708690885167426
D_vs_Ctrl_4h	4h	D	Ctrl	4.989247311827957	-0.005349889497393994	0.004653897275154322
D_vs_Ctrl_4h	4h	D	Ctrl	5.010752688172043	-0.005425344268429086	0.004598163526161526
D_vs_Ctrl_4h	4h	D	Ctrl	5.032258064516129	-0.005427972113296196	0.004527603827376928
D_vs_Ctrl_4h	4h	D	Ctrl	5.053763440860216	-0.005488228625189727	0.004509494336955998
D_vs_Ctrl_4h	4h	D	Ctrl	5.075268817204302	-0.005527549368890823	0.004401303886714069
D_vs_Ctrl_4h	4h	D	Ctrl	5.096774193548388	-0.005506746970640961	0.004438983074733508
D_vs_Ctrl_4h	4h	D	Ctrl	5.118279569892474	-0.005485950274621198	0.004473818066414341
D_vs_Ctrl_4h	4h	D	Ctrl	5.13978494623656	-0.005426281713302918	0.0045002080668485895
D_vs_Ctrl_4h	4h	D	Ctrl	5.161290322580646	-0.005421662859408195	0.004577884180886667
D_vs_Ctrl_4h	4h	D	Ctrl	5.182795698924732	-0.005380911763138037	0.004644773102329112
D_vs_Ctrl_4h	4h	D	Ctrl	5.204301075268818	-0.005210472756534385	0.004709371922954479
D_vs_Ctrl_4h	4h	D	Ctrl	5.225806451612904	-0.005119224135134537	0.004810523978269233
D_vs_Ctrl_4h	4h	D	Ctrl	5.24731182795699	-0.004966666795962379	0.004960552602422256
D_vs_Ctrl_4h	4h	D	Ctrl	5.268817204301076	-0.004888871644769732	0.005096752371607441
D_vs_Ctrl_4h	4h	D	Ctrl	5.290322580645162	-0.004707367948185506	0.0051867408673969655
D_vs_Ctrl_4h	4h	D	Ctrl	5.311827956989248	-0.004514814348683213	0.0053129820142334685
D_vs_Ctrl_4h	4h	D	Ctrl	5.333333333333334	-0.004374366576816929	0.005463100711393342
D_vs_Ctrl_4h	4h	D	Ctrl	5.35483870967742	-0.004184281846436175	0.005598080073230763
D_vs_Ctrl_4h	4h	D	Ctrl	5.376344086021506	-0.004054436739337089	0.005803264887029645
D_vs_Ctrl_4h	4h	D	Ctrl	5.397849462365592	-0.003872808348684297	0.005968442687232818
D_vs_Ctrl_4h	4h	D	Ctrl	5.419354838709678	-0.003697737113011132	0.006085979099259958
D_vs_Ctrl_4h	4h	D	Ctrl	5.440860215053764	-0.0034649505758768233	0.006268886299402579
D_vs_Ctrl_4h	4h	D	Ctrl	5.46236559139785	-0.003329642320390279	0.006435810613376913
D_vs_Ctrl_4h	4h	D	Ctrl	5.483870967741936	-0.0031404163428527584	0.006561710897085462
D_vs_Ctrl_4h	4h	D	Ctrl	5.505376344086022	-0.0029744295297812547	0.006687317304057298
D_vs_Ctrl_4h	4h	D	Ctrl	5.526881720430108	-0.002838525879974999	0.006798083047096848
D_vs_Ctrl_4h	4h	D	Ctrl	5.548387096774194	-0.0027424356395158137	0.006903191062870803
D_vs_Ctrl_4h	4h	D	Ctrl	5.56989247311828	-0.0026412431601665963	0.007046176812910242
D_vs_Ctrl_4h	4h	D	Ctrl	5.591397849462366	-0.0025552945152805544	0.007168447727454513
