contrast_id	gene_id	baseline_bin	n_methods	spread_iqr	phase
DT_vs_D_24h	ENSG00000008324_SS18L2	Non-head	6	0.4411935715391945	Late
DT_vs_D_24h	ENSG00000008382_MPND	Non-head	6	0.3499128501488235	Late
DT_vs_D_24h	ENSG00000008394_MGST1	Head	6	1.067687188307165	Late
DT_vs_D_24h	ENSG00000008405_CRY1	Non-head	6	0.20870892721964862	Late
DT_vs_D_24h	ENSG00000008441_NFIX	Head	6	0.17489500675256342	Late
DT_vs_D_24h	ENSG00000008513_ST3GAL1	Non-head	6	0.37783659109434975	Late
DT_vs_D_24h	ENSG00000008516_MMP25	Non-head	6	0.18138687780870988	Late
DT_vs_D_24h	ENSG00000008517_IL32	Non-head	6	0.02911667790848288	Late
DT_vs_D_24h	ENSG00000008710_PKD1	Head	6	1.7633575522907339	Late
DT_vs_D_24h	ENSG00000008735_MAPK8IP2	Non-head	6	0.07860309503567359	Late
DT_vs_D_24h	ENSG00000008838_MED24	Non-head	6	0.16439071480827683	Late
DT_vs_D_24h	ENSG00000008853_RHOBTB2	Non-head	6	0.36799198856747417	Late
DT_vs_D_24h	ENSG00000008869_HEATR5B	Non-head	6	0.39941351451958373	Late
DT_vs_D_24h	ENSG00000008952_SEC62	Non-head	6	0.039732624351319856	Late
DT_vs_D_24h	ENSG00000008988_RPS20	Head	6	0.7669965818429041	Late
DT_vs_D_24h	ENSG00000009307_CSDE1	Head	6	0.859864980915523	Late
DT_vs_D_24h	ENSG00000009335_UBE3C	Head	6	0.2829510173164289	Late
DT_vs_D_24h	ENSG00000009413_REV3L	Non-head	6	0.04303430600269742	Late
DT_vs_D_24h	ENSG00000009694_TENM1	Non-head	6	0.2960193423807428	Late
DT_vs_D_24h	ENSG00000009724_MASP2	Non-head	6	1.4340111656721672	Late
DT_vs_D_24h	ENSG00000009765_IYD	Non-head	6	0.09753842783783838	Late
DT_vs_D_24h	ENSG00000009780_FAM76A	Non-head	6	0.4982330879154306	Late
DT_vs_D_24h	ENSG00000009830_POMT2	Non-head	6	0.4390071122023129	Late
DT_vs_D_24h	ENSG00000009844_VTA1	Non-head	6	0.12711993693403567	Late
DT_vs_D_24h	ENSG00000009950_MLXIPL	Non-head	6	0.5419847219858986	Late
DT_vs_D_24h	ENSG00000009954_BAZ1B	Head	6	0.18188175163765846	Late
DT_vs_D_24h	ENSG00000010017_RANBP9	Non-head	6	0.09015520355039253	Late
DT_vs_D_24h	ENSG00000010030_ETV7	Non-head	6	0.5169243262158981	Late
DT_vs_D_24h	ENSG00000010072_SPRTN	Non-head	6	0.5387206025902067	Late
DT_vs_D_24h	ENSG00000010165_EEF1AKNMT	Non-head	6	0.08726006112347826	Late
DT_vs_D_24h	ENSG00000010219_DYRK4	Non-head	6	0.12180203452568561	Late
DT_vs_D_24h	ENSG00000010244_ZNF207	Head	6	0.35590256619975325	Late
DT_vs_D_24h	ENSG00000010256_UQCRC1	Head	6	0.10389838838166254	Late
DT_vs_D_24h	ENSG00000010270_STARD3NL	Non-head	6	0.21799661550214422	Late
DT_vs_D_24h	ENSG00000010278_CD9	Head	6	0.13693026210078396	Late
DT_vs_D_24h	ENSG00000010292_NCAPD2	Head	6	0.1764509872079274	Late
DT_vs_D_24h	ENSG00000010295_IFFO1	Non-head	6	0.258011754637415	Late
DT_vs_D_24h	ENSG00000010310_GIPR	Non-head	6	0.2758988703983694	Late
DT_vs_D_24h	ENSG00000010318_PHF7	Non-head	6	0.03893960348752251	Late
DT_vs_D_24h	ENSG00000010319_SEMA3G	Non-head	6	0.07441502065794514	Late
DT_vs_D_24h	ENSG00000010322_NISCH	Non-head	6	1.0056020126752268	Late
DT_vs_D_24h	ENSG00000010327_STAB1	Non-head	6	0.09447366370433291	Late
DT_vs_D_24h	ENSG00000010361_FUZ	Non-head	6	0.08518380066795339	Late
DT_vs_D_24h	ENSG00000010404_IDS	Non-head	6	0.24406596397422098	Late
DT_vs_D_24h	ENSG00000010438_PRSS3	Non-head	6	0.4109523901202504	Late
DT_vs_D_24h	ENSG00000010539_ZNF200	Non-head	6	0.5813096497539683	Late
DT_vs_D_24h	ENSG00000010610_CD4	Non-head	6	0.0857006323964038	Late
DT_vs_D_24h	ENSG00000010626_LRRC23	Non-head	6	0.4653791488523473	Late
DT_vs_D_24h	ENSG00000010704_HFE	Non-head	6	0.2684182381205339	Late
DT_vs_D_24h	ENSG00000010803_SCMH1	Non-head	6	0.0535938204568924	Late
DT_vs_D_24h	ENSG00000010810_FYN	Non-head	6	0.21269204843891812	Late
DT_vs_D_24h	ENSG00000010818_HIVEP2	Non-head	6	0.32288342937360165	Late
DT_vs_D_24h	ENSG00000011007_ELOA	Non-head	6	0.21351305956814137	Late
DT_vs_D_24h	ENSG00000011009_LYPLA2	Non-head	6	0.10598308192151384	Late
DT_vs_D_24h	ENSG00000011021_CLCN6	Non-head	6	0.18367651080365577	Late
DT_vs_D_24h	ENSG00000011028_MRC2	Non-head	6	0.16109838947027033	Late
DT_vs_D_24h	ENSG00000011105_TSPAN9	Non-head	6	0.020105068945501514	Late
DT_vs_D_24h	ENSG00000011114_BTBD7	Non-head	6	0.07659110982027806	Late
DT_vs_D_24h	ENSG00000011132_APBA3	Non-head	6	0.6311119895443906	Late
DT_vs_D_24h	ENSG00000011143_MKS1	Non-head	6	0.23778619079349772	Late
DT_vs_D_24h	ENSG00000011198_ABHD5	Non-head	6	0.1554270551487006	Late
DT_vs_D_24h	ENSG00000011243_AKAP8L	Non-head	6	0.39858652356233626	Late
DT_vs_D_24h	ENSG00000011258_MBTD1	Non-head	6	0.2277826436020921	Late
DT_vs_D_24h	ENSG00000011260_UTP18	Non-head	6	0.1177762040641992	Late
