gene_id	contrast_id	method_raw	method	signed_effect	signed_score_input	baseline_expression	pval	padj	direction_input	method_note	direction_input_norm	q_for_score	has_q	sig_from_q	sig_from_direction_only	sig	direction	neglog10	signed_score	score_for_agreement
ENSG00000099139_PCSK5	DT_vs_D_24h	PenDA	PenDA	0.32726951636423074	1.3328480714462636	4.169900671673013	0.04000000000000001	0.04646778042959428	Up	PenDA precomputed: DT_vs_D_24h_PenDA_precomputed.tsv	Up	0.04646778042959428	TRUE	FALSE	FALSE	FALSE	NS	1.3328480714462636	1.3328480714462636	0.8649044735324027
ENSG00000185736_ADARB2	DT_vs_D_24h	PenDA	PenDA	0.4952490366024169	1.3328480714462636	2.9373557274953184	0.04000000000000001	0.04646778042959428	Up	PenDA precomputed: DT_vs_D_24h_PenDA_precomputed.tsv	Up	0.04646778042959428	TRUE	FALSE	FALSE	FALSE	NS	1.3328480714462636	1.3328480714462636	0.8649044735324027
ENSG00000130147_SH3BP4	DT_vs_D_24h	PenDA	PenDA	-0.00522175650406087	1.3328480714462636	5.150618760425495	0.04000000000000001	0.04646778042959428	Up	PenDA precomputed: DT_vs_D_24h_PenDA_precomputed.tsv	Up	0.04646778042959428	TRUE	FALSE	FALSE	FALSE	NS	1.3328480714462636	1.3328480714462636	0.8649044735324027
ENSG00000287284_AC130814.1	DT_vs_D_24h	PenDA	PenDA	1.0452733646620518	NA	-2.875690016111216	NA	NA	NA	PenDA precomputed	NA	NA	FALSE	FALSE	FALSE	FALSE	NS	NA	NA	0.28024625313033424
ENSG00000188277_C15orf62	DT_vs_D_24h	PenDA	PenDA	-0.24327695208301492	-1.3328480714462636	3.7091323784749255	0.04000000000000001	0.04646778042959428	Down	PenDA precomputed: DT_vs_D_24h_PenDA_precomputed.tsv	Down	0.04646778042959428	TRUE	FALSE	FALSE	FALSE	NS	1.3328480714462636	-1.3328480714462636	-0.9797804745212341
ENSG00000136938_ANP32B	DT_vs_D_24h	PenDA	PenDA	-0.27074515517836506	-1.3328480714462636	7.617158898025595	0.04000000000000001	0.04646778042959428	Down	PenDA precomputed: DT_vs_D_24h_PenDA_precomputed.tsv	Down	0.04646778042959428	TRUE	FALSE	FALSE	FALSE	NS	1.3328480714462636	-1.3328480714462636	-0.9797804745212341
ENSG00000144713_RPL32	DT_vs_D_24h	PenDA	PenDA	-0.4307502340903291	-1.3328480714462636	9.798139891365368	0.04000000000000001	0.04646778042959428	Down	PenDA precomputed: DT_vs_D_24h_PenDA_precomputed.tsv	Down	0.04646778042959428	TRUE	FALSE	FALSE	FALSE	NS	1.3328480714462636	-1.3328480714462636	-0.9797804745212341
ENSG00000143164_DCAF6	DT_vs_D_24h	PenDA	PenDA	-0.10065263834365724	-1.3328480714462636	6.573306938205873	0.04000000000000001	0.04646778042959428	Down	PenDA precomputed: DT_vs_D_24h_PenDA_precomputed.tsv	Down	0.04646778042959428	TRUE	FALSE	FALSE	FALSE	NS	1.3328480714462636	-1.3328480714462636	-0.9797804745212341
ENSG00000262663_AC087222.1	DT_vs_D_24h	PenDA	PenDA	0.8446544448691593	1.3328480714462636	-0.2280562277066343	0.04000000000000001	0.04646778042959428	Up	PenDA precomputed: DT_vs_D_24h_PenDA_precomputed.tsv	Up	0.04646778042959428	TRUE	TRUE	FALSE	TRUE	Up	1.3328480714462636	1.3328480714462636	0.8649044735324027
ENSG00000224259_LINC01133	DT_vs_D_24h	PenDA	PenDA	0.02989182033331605	1.3328480714462636	3.5060392228592923	0.04000000000000001	0.04646778042959428	Up	PenDA precomputed: DT_vs_D_24h_PenDA_precomputed.tsv	Up	0.04646778042959428	TRUE	FALSE	FALSE	FALSE	NS	1.3328480714462636	1.3328480714462636	0.8649044735324027
