gene_id	contrast_id	method	pval	padj	method_log2FC	signed_score	direction	baseline_expression	k_up	k_down	k_any	method_note
ENSG00000119977_TCTN3	DT_vs_D_24h	PenDA	0.35999999999999976	0.3681026333558404	-0.033246020617637484	-0.4340310756589579	Down	5.339215485414691	0	1	1	PenDA native penda_test; threshold_lh=0.99; s_max=50; threshold_test=0.03; iterations=12; input=TMM logCPM from rounded RSEM expected counts
ENSG00000204178_MACO1	DT_vs_D_24h	PenDA	0.04000000000000001	0.046467780429594284	-0.2409481319418969	-1.3328480714462636	Down	5.339331319650988	0	2	2	PenDA native penda_test; threshold_lh=0.99; s_max=50; threshold_test=0.03; iterations=12; input=TMM logCPM from rounded RSEM expected counts
ENSG00000094914_AAAS	DT_vs_D_24h	PenDA	0.04000000000000001	0.046467780429594284	0.19011450680618136	1.3328480714462636	Up	5.339536468784166	2	0	2	PenDA native penda_test; threshold_lh=0.99; s_max=50; threshold_test=0.03; iterations=12; input=TMM logCPM from rounded RSEM expected counts
ENSG00000182973_CNOT10	DT_vs_D_24h	PenDA	0.04000000000000001	0.046467780429594284	0.1492639901302919	1.3328480714462636	Up	5.339908698166372	2	0	2	PenDA native penda_test; threshold_lh=0.99; s_max=50; threshold_test=0.03; iterations=12; input=TMM logCPM from rounded RSEM expected counts
ENSG00000163683_SMIM14	DT_vs_D_24h	PenDA	0.04000000000000001	0.046467780429594284	-0.8413734146023177	-1.3328480714462636	Down	5.340145468783513	0	2	2	PenDA native penda_test; threshold_lh=0.99; s_max=50; threshold_test=0.03; iterations=12; input=TMM logCPM from rounded RSEM expected counts
ENSG00000100599_RIN3	DT_vs_D_24h	PenDA	0.04000000000000001	0.046467780429594284	0.170805756666212	1.3328480714462636	Up	5.340309745920958	2	0	2	PenDA native penda_test; threshold_lh=0.99; s_max=50; threshold_test=0.03; iterations=12; input=TMM logCPM from rounded RSEM expected counts
ENSG00000111361_EIF2B1	DT_vs_D_24h	PenDA	0.04000000000000001	0.046467780429594284	0.1329446491180546	1.3328480714462636	Up	5.340527520252937	2	0	2	PenDA native penda_test; threshold_lh=0.99; s_max=50; threshold_test=0.03; iterations=12; input=TMM logCPM from rounded RSEM expected counts
ENSG00000173638_SLC19A1	DT_vs_D_24h	PenDA	0.04000000000000001	0.046467780429594284	0.20307345887028205	1.3328480714462636	Up	5.341184438130494	2	0	2	PenDA native penda_test; threshold_lh=0.99; s_max=50; threshold_test=0.03; iterations=12; input=TMM logCPM from rounded RSEM expected counts
ENSG00000171853_TRAPPC12	DT_vs_D_24h	PenDA	0.04000000000000001	0.046467780429594284	0.46361782001173957	1.3328480714462636	Up	5.341328212929749	2	0	2	PenDA native penda_test; threshold_lh=0.99; s_max=50; threshold_test=0.03; iterations=12; input=TMM logCPM from rounded RSEM expected counts
ENSG00000130311_DDA1	DT_vs_D_24h	PenDA	0.35999999999999976	0.3681026333558404	-0.03352706037397368	-0.4340310756589579	Down	5.342114262158141	0	1	1	PenDA native penda_test; threshold_lh=0.99; s_max=50; threshold_test=0.03; iterations=12; input=TMM logCPM from rounded RSEM expected counts
ENSG00000147789_ZNF7	DT_vs_D_24h	PenDA	0.04000000000000001	0.046467780429594284	0.25290991135123875	1.3328480714462636	Up	5.342184289904759	2	0	2	PenDA native penda_test; threshold_lh=0.99; s_max=50; threshold_test=0.03; iterations=12; input=TMM logCPM from rounded RSEM expected counts
ENSG00000099977_DDT	DT_vs_D_24h	PenDA	0.04000000000000001	0.046467780429594284	-0.17412730427840728	-1.3328480714462636	Down	5.342752698698112	0	2	2	PenDA native penda_test; threshold_lh=0.99; s_max=50; threshold_test=0.03; iterations=12; input=TMM logCPM from rounded RSEM expected counts
ENSG00000048392_RRM2B	DT_vs_D_24h	PenDA	0.04000000000000001	0.046467780429594284	-0.594724619976259	-1.3328480714462636	Down	5.343354740346483	0	2	2	PenDA native penda_test; threshold_lh=0.99; s_max=50; threshold_test=0.03; iterations=12; input=TMM logCPM from rounded RSEM expected counts
ENSG00000128626_MRPS12	DT_vs_D_24h	PenDA	0.04000000000000001	0.046467780429594284	-0.3031591975273722	-1.3328480714462636	Down	5.343602517684878	0	2	2	PenDA native penda_test; threshold_lh=0.99; s_max=50; threshold_test=0.03; iterations=12; input=TMM logCPM from rounded RSEM expected counts
ENSG00000007080_CCDC124	DT_vs_D_24h	PenDA	0.04000000000000001	0.046467780429594284	-0.1910906023226273	-1.3328480714462636	Down	5.343638225864219	0	2	2	PenDA native penda_test; threshold_lh=0.99; s_max=50; threshold_test=0.03; iterations=12; input=TMM logCPM from rounded RSEM expected counts
ENSG00000197535_MYO5A	DT_vs_D_24h	PenDA	0.04000000000000001	0.046467780429594284	0.16570388535452096	1.3328480714462636	Up	5.343730394298602	2	0	2	PenDA native penda_test; threshold_lh=0.99; s_max=50; threshold_test=0.03; iterations=12; input=TMM logCPM from rounded RSEM expected counts
ENSG00000042429_MED17	DT_vs_D_24h	PenDA	0.04000000000000001	0.046467780429594284	0.11853346166866707	1.3328480714462636	Up	5.34373587823134	2	0	2	PenDA native penda_test; threshold_lh=0.99; s_max=50; threshold_test=0.03; iterations=12; input=TMM logCPM from rounded RSEM expected counts
ENSG00000188419_CHM	DT_vs_D_24h	PenDA	0.04000000000000001	0.046467780429594284	-0.2930709215195897	-1.3328480714462636	Down	5.343907469100396	0	2	2	PenDA native penda_test; threshold_lh=0.99; s_max=50; threshold_test=0.03; iterations=12; input=TMM logCPM from rounded RSEM expected counts
ENSG00000084636_COL16A1	DT_vs_D_24h	PenDA	0.04000000000000001	0.046467780429594284	0.8557125764444837	1.3328480714462636	Up	5.344077260920283	2	0	2	PenDA native penda_test; threshold_lh=0.99; s_max=50; threshold_test=0.03; iterations=12; input=TMM logCPM from rounded RSEM expected counts
ENSG00000182004_SNRPE	DT_vs_D_24h	PenDA	0.04000000000000001	0.046467780429594284	-0.28731526708210975	-1.3328480714462636	Down	5.344215271208457	0	2	2	PenDA native penda_test; threshold_lh=0.99; s_max=50; threshold_test=0.03; iterations=12; input=TMM logCPM from rounded RSEM expected counts
ENSG00000015133_CCDC88C	DT_vs_D_24h	PenDA	0.04000000000000001	0.046467780429594284	0.4036386877119087	1.3328480714462636	Up	5.345415195787722	2	0	2	PenDA native penda_test; threshold_lh=0.99; s_max=50; threshold_test=0.03; iterations=12; input=TMM logCPM from rounded RSEM expected counts
ENSG00000112624_BICRAL	DT_vs_D_24h	PenDA	0.04000000000000001	0.046467780429594284	-0.16239964042494037	-1.3328480714462636	Down	5.345918457630063	0	2	2	PenDA native penda_test; threshold_lh=0.99; s_max=50; threshold_test=0.03; iterations=12; input=TMM logCPM from rounded RSEM expected counts
ENSG00000168395_ING5	DT_vs_D_24h	PenDA	0.04000000000000001	0.046467780429594284	0.5653236610097654	1.3328480714462636	Up	5.346012863386023	2	0	2	PenDA native penda_test; threshold_lh=0.99; s_max=50; threshold_test=0.03; iterations=12; input=TMM logCPM from rounded RSEM expected counts
ENSG00000215041_NEURL4	DT_vs_D_24h	PenDA	0.04000000000000001	0.046467780429594284	0.7235852399829366	1.3328480714462636	Up	5.3460730259374625	2	0	2	PenDA native penda_test; threshold_lh=0.99; s_max=50; threshold_test=0.03; iterations=12; input=TMM logCPM from rounded RSEM expected counts
ENSG00000225470_JPX	DT_vs_D_24h	PenDA	0.04000000000000001	0.046467780429594284	0.11572552710245887	1.3328480714462636	Up	5.3477812594844085	2	0	2	PenDA native penda_test; threshold_lh=0.99; s_max=50; threshold_test=0.03; iterations=12; input=TMM logCPM from rounded RSEM expected counts
ENSG00000033627_ATP6V0A1	DT_vs_D_24h	PenDA	0.04000000000000001	0.046467780429594284	0.2961933910240804	1.3328480714462636	Up	5.348188945159746	2	0	2	PenDA native penda_test; threshold_lh=0.99; s_max=50; threshold_test=0.03; iterations=12; input=TMM logCPM from rounded RSEM expected counts
ENSG00000136888_ATP6V1G1	DT_vs_D_24h	PenDA	0.04000000000000001	0.046467780429594284	-0.42850185407552743	-1.3328480714462636	Down	5.348524268109529	0	2	2	PenDA native penda_test; threshold_lh=0.99; s_max=50; threshold_test=0.03; iterations=12; input=TMM logCPM from rounded RSEM expected counts
