gene,baseline_value,baseline_band,baseline_source_matrix
AC005062.1,15.316735807335753,NA,size_factor_normalized_counts
AC005070.3,15.921081261734162,NA,size_factor_normalized_counts
AC005072.1,9.895538885884964,NA,size_factor_normalized_counts
AC005076.1,3.3075438514838615,tail,size_factor_normalized_counts
AC005082.1,2.107853910027346,tail,size_factor_normalized_counts
AC005083.1,67.45893764540023,mid,size_factor_normalized_counts
AC005091.1,0,tail,size_factor_normalized_counts
AC005224.2,4.9071304400925495,NA,size_factor_normalized_counts
AC005224.3,13.067619394535715,NA,size_factor_normalized_counts
AC005225.2,3.6532551615027904,tail,size_factor_normalized_counts
AC005229.4,33.87523180914296,mid,size_factor_normalized_counts
AC005256.1,10.722424848755928,NA,size_factor_normalized_counts
AC005261.1,1130.807193228895,mid,size_factor_normalized_counts
AC005261.3,20.45089161858481,NA,size_factor_normalized_counts
AC005262.2,2.880554535765068,tail,size_factor_normalized_counts
AC005280.1,4.507233792940378,NA,size_factor_normalized_counts
AC005288.1,6.56090236583448,NA,size_factor_normalized_counts
AC005306.1,8.614570938728583,NA,size_factor_normalized_counts
AC005329.1,3.3075438514838615,tail,size_factor_normalized_counts
AC005332.1,21.4990350346451,NA,size_factor_normalized_counts
AC005332.2,2.507750557179518,tail,size_factor_normalized_counts
AC005332.3,27.20595876904199,mid,size_factor_normalized_counts
AC005332.4,37.39302362781264,mid,size_factor_normalized_counts
AC005332.5,106.688888497574,mid,size_factor_normalized_counts
AC005332.6,835.5829309585718,mid,size_factor_normalized_counts
AC005339.1,0,tail,size_factor_normalized_counts
AC005393.1,4.880037771525927,NA,size_factor_normalized_counts
AC005476.2,5.761109071530136,NA,size_factor_normalized_counts
AC005479.1,2.080761241460724,tail,size_factor_normalized_counts
AC005487.1,0.3998966471521719,tail,size_factor_normalized_counts
AC005519.1,11.05911723812541,NA,size_factor_normalized_counts
AC005520.2,8.323044965842897,NA,size_factor_normalized_counts
AC005520.3,0.8268859628709654,tail,size_factor_normalized_counts
AC005520.5,2.9076472043316897,tail,size_factor_normalized_counts
AC005523.2,2.507750557179518,tail,size_factor_normalized_counts
AC005532.1,3.28045118291724,tail,size_factor_normalized_counts
AC005534.1,33.021253177705375,mid,size_factor_normalized_counts
AC005540.1,6.18809838724893,NA,size_factor_normalized_counts
AC005546.1,1.6808645943085523,tail,size_factor_normalized_counts
AC005551.1,3.3075438514838615,tail,size_factor_normalized_counts
AC005562.1,323.4143066112302,mid,size_factor_normalized_counts
AC005586.2,1.2267826100231374,tail,size_factor_normalized_counts
AC005606.2,2.8534618671984466,tail,size_factor_normalized_counts
AC005618.1,2.480657888612896,tail,size_factor_normalized_counts
AC005632.3,8.160488954443167,NA,size_factor_normalized_counts
AC005670.3,716.5394951061667,mid,size_factor_normalized_counts
AC005674.1,7.414880997272067,NA,size_factor_normalized_counts
AC005674.2,35.318755767699074,mid,size_factor_normalized_counts
AC005682.2,2.3993798829130313,tail,size_factor_normalized_counts
AC005696.1,6.1339130501156856,NA,size_factor_normalized_counts
AC005722.3,1.2267826100231374,tail,size_factor_normalized_counts
AC005726.1,32.72066340089738,mid,size_factor_normalized_counts
AC005726.3,6.296469061515416,NA,size_factor_normalized_counts
AC005730.2,2.107853910027346,tail,size_factor_normalized_counts
AC005730.3,4.93422310865917,NA,size_factor_normalized_counts
AC005736.1,7.123355024386381,NA,size_factor_normalized_counts
AC005740.4,3.3075438514838615,tail,size_factor_normalized_counts
AC005740.5,2.934739872898311,tail,size_factor_normalized_counts
AC005746.1,0.4269893157187935,tail,size_factor_normalized_counts
AC005753.1,4.053151808654962,NA,size_factor_normalized_counts
AC005753.3,12.003392795912308,NA,size_factor_normalized_counts
AC005775.1,4.134429814354826,NA,size_factor_normalized_counts
AC005785.1,11.895022121645823,NA,size_factor_normalized_counts
AC005786.3,1.6537719257419308,tail,size_factor_normalized_counts
AC005828.4,1.6266792571753093,tail,size_factor_normalized_counts
AC005837.1,7.09626235581976,NA,size_factor_normalized_counts
AC005838.2,1.253875278589759,tail,size_factor_normalized_counts
AC005840.2,22.271735660382824,mid,size_factor_normalized_counts
AC005840.4,4.56141913007362,NA,size_factor_normalized_counts
AC005863.1,4.507233792940378,NA,size_factor_normalized_counts
AC005899.7,4.56141913007362,NA,size_factor_normalized_counts
AC005899.8,0.8268859628709654,tail,size_factor_normalized_counts
AC005911.1,3.334636520050483,tail,size_factor_normalized_counts
AC005912.2,2.9076472043316897,tail,size_factor_normalized_counts
AC005921.4,0,tail,size_factor_normalized_counts
AC005944.1,6.933706344420029,NA,size_factor_normalized_counts
AC005962.1,7.760592307290995,NA,size_factor_normalized_counts
AC005962.2,4.988408445792414,NA,size_factor_normalized_counts
AC006001.2,33.312779150591055,mid,size_factor_normalized_counts
AC006008.1,93.91279507592397,mid,size_factor_normalized_counts
AC006017.1,3.3075438514838615,tail,size_factor_normalized_counts
AC006027.1,5.842387077230001,NA,size_factor_normalized_counts
AC006058.1,127.18437565207608,mid,size_factor_normalized_counts
AC006058.3,5.869479745796622,NA,size_factor_normalized_counts
AC006059.1,7.469066334405309,NA,size_factor_normalized_counts
AC006064.2,2.880554535765068,tail,size_factor_normalized_counts
AC006064.4,41.33780476220112,mid,size_factor_normalized_counts
AC006064.5,2032.9561229133465,NA,size_factor_normalized_counts
AC006111.2,16.110729941700512,NA,size_factor_normalized_counts
AC006116.11,1.2267826100231374,tail,size_factor_normalized_counts
AC006116.5,4.534326461506998,NA,size_factor_normalized_counts
AC006116.8,3.2262658457839968,tail,size_factor_normalized_counts
AC006130.3,0.3998966471521719,tail,size_factor_normalized_counts
