x,time,contrast,delta_density,lo,hi
0.986301369863014,24 h,Dox-only,-0.000855006400007942,-0.00277858773440583,0.000988877694517964
0.986301369863014,24 h,Tam-only,0.00394393292483229,0.00207617587315116,0.00572524456066446
0.986301369863014,4 h,Dox-only,-0.00123932767574941,-0.00310376494921628,0.00065563350612784
0.986301369863014,4 h,Tam-only,0.000297278673164689,-0.00158437641770386,0.00218669757452822
1.02739726027397,24 h,Dox-only,-0.00084488321527848,-0.00277946512079543,0.00101568140339936
1.02739726027397,24 h,Tam-only,0.00405031826828368,0.00217779896190912,0.00586612945463673
1.02739726027397,4 h,Dox-only,-0.00133009498446397,-0.00323830644291949,0.000573970581823242
1.02739726027397,4 h,Tam-only,0.000218830327752335,-0.00167161488028601,0.00213158941344073
1.06849315068493,24 h,Dox-only,-0.000847897817139651,-0.00281845971599051,0.0010482110582256
1.06849315068493,24 h,Tam-only,0.00413871640503417,0.00222899665234463,0.00595709713358661
1.06849315068493,4 h,Dox-only,-0.0014069124947123,-0.00332694085933199,0.000521319716334066
1.06849315068493,4 h,Tam-only,0.000141692866886964,-0.00178072197346291,0.00207989639479924
1.10958904109589,24 h,Dox-only,-0.000864165795044593,-0.00285227392609533,0.0010627804332926
1.10958904109589,24 h,Tam-only,0.0042124920191542,0.00228593544042682,0.00605035403148792
1.10958904109589,4 h,Dox-only,-0.00146840643585363,-0.00341930095655221,0.000478196161113159
1.10958904109589,4 h,Tam-only,6.59452097530391e-05,-0.00186194642896495,0.00204177741102796
1.15068493150685,24 h,Dox-only,-0.000893334743469781,-0.00290849393457765,0.00106957872682161
1.15068493150685,24 h,Tam-only,0.00426754999786767,0.00231659532061379,0.00614649796070331
1.15068493150685,4 h,Dox-only,-0.00151336415609431,-0.00350488980669193,0.000463844340358184
1.15068493150685,4 h,Tam-only,-8.43066669248271e-06,-0.0019642110236076,0.00201362568091862
1.19178082191781,24 h,Dox-only,-0.000934558898331883,-0.00301063994449529,0.00104859043443908
1.19178082191781,24 h,Tam-only,0.00430228354092126,0.00232651417983995,0.00620373145064434
1.19178082191781,4 h,Dox-only,-0.0015393631438026,-0.00355532150069138,0.000441069839998157
1.19178082191781,4 h,Tam-only,-8.16423894622193e-05,-0.00205832483931094,0.00195863629093413
1.23287671232877,24 h,Dox-only,-0.000987645857111523,-0.00307807455080603,0.0010109477945793
1.23287671232877,24 h,Tam-only,0.00431430564770354,0.00232110628527736,0.00628307172128011
1.23287671232877,4 h,Dox-only,-0.00154391536285223,-0.00357324466841921,0.000457582509573874
1.23287671232877,4 h,Tam-only,-0.000152916389142499,-0.00215132367799135,0.00193318899930409
1.27397260273973,24 h,Dox-only,-0.00104899063986069,-0.00317137475649675,0.000987298896185003
1.27397260273973,24 h,Tam-only,0.00430381181441601,0.00229697483487623,0.00630053750258623
1.27397260273973,4 h,Dox-only,-0.0015296042818238,-0.00361349331557371,0.000479631467718633
1.27397260273973,4 h,Tam-only,-0.000223062869392762,-0.00224861245081885,0.00187538249130669
1.31506849315068,24 h,Dox-only,-0.0011151549393929,-0.00327706711034946,0.000955639274134589
1.31506849315068,24 h,Tam-only,0.00427662946692246,0.00220909774412005,0.00631651324101603
1.31506849315068,4 h,Dox-only,-0.00149642829470706,-0.00360771133482668,0.000556495383275331
1.31506849315068,4 h,Tam-only,-0.000291997755275199,-0.0023490715732662,0.00181125681392155
1.35616438356164,24 h,Dox-only,-0.00118298477013768,-0.00333506625592332,0.000902709347360882
1.35616438356164,24 h,Tam-only,0.00423381166434281,0.00213385896197065,0.00631495209211286
1.35616438356164,4 h,Dox-only,-0.00144465003757949,-0.00357918965778995,0.000654012886131223
1.35616438356164,4 h,Tam-only,-0.000359500373343584,-0.00244381055407331,0.00179617173009747
1.3972602739726,24 h,Dox-only,-0.00124902703089628,-0.00340879488642612,0.000866035511912847
1.3972602739726,24 h,Tam-only,0.00417623364613081,0.00205699378783293,0.00628495714479645
1.3972602739726,4 h,Dox-only,-0.0013747885433766,-0.00353163609812461,0.000724487192455523
1.3972602739726,4 h,Tam-only,-0.000425192336475637,-0.00254109174023904,0.00173233593775354
1.43835616438356,24 h,Dox-only,-0.00130961104411305,-0.00348640839540601,0.000849814887739192
1.43835616438356,24 h,Tam-only,0.00410320609812918,0.00197922168589233,0.00626573170553022
1.43835616438356,4 h,Dox-only,-0.00128760798715835,-0.00347744082693192,0.000826368744420447
1.43835616438356,4 h,Tam-only,-0.000488521319976974,-0.00262345484783891,0.00168802906731722
1.47945205479452,24 h,Dox-only,-0.00136093722511077,-0.00356892171023737,0.000832077078097977
1.47945205479452,24 h,Tam-only,0.0040156119554113,0.00187443671120489,0.00617545324009707
1.47945205479452,4 h,Dox-only,-0.00117996437305994,-0.00339783985979215,0.000940215158739737
1.47945205479452,4 h,Tam-only,-0.000546328250808276,-0.00270007153029751,0.00164659291387763
1.52054794520548,24 h,Dox-only,-0.00139836336953235,-0.00362319105153373,0.000806523084813195
1.52054794520548,24 h,Tam-only,0.00391473323538537,0.00175190042370304,0.00609889533824997
1.52054794520548,4 h,Dox-only,-0.00105854360165261,-0.00328807133674336,0.00110575260740987
1.52054794520548,4 h,Tam-only,-0.000600757020592486,-0.00275339391058661,0.00161094444150428
1.56164383561644,24 h,Dox-only,-0.00141509062218122,-0.00365866896618421,0.000828524188379824
1.56164383561644,24 h,Tam-only,0.00380354229636239,0.0016149338772854,0.00602122961823846
1.56164383561644,4 h,Dox-only,-0.000924342391744555,-0.00317186400997036,0.00124147034505701
1.56164383561644,4 h,Tam-only,-0.000649387208813856,-0.00282727471187721,0.0015677599909449
1.6027397260274,24 h,Dox-only,-0.00141010228654467,-0.00366186683891975,0.000890900465673202
1.6027397260274,24 h,Tam-only,0.00368330084638763,0.00144971909768695,0.00590727224347233
1.6027397260274,4 h,Dox-only,-0.000778989870802396,-0.00302207780787503,0.00140577940710802
1.6027397260274,4 h,Tam-only,-0.000690909982621613,-0.00288569724099104,0.00154956276734375
1.64383561643836,24 h,Dox-only,-0.00138068644645038,-0.0036687384523429,0.000953024546342008
1.64383561643836,24 h,Tam-only,0.00355477834490821,0.00129901586499102,0.00580009244165609
1.64383561643836,4 h,Dox-only,-0.000624189604666703,-0.00288673988797267,0.00160945236741397
1.64383561643836,4 h,Tam-only,-0.000723959579641442,-0.0029304091553615,0.00151969919647788
1.68493150684932,24 h,Dox-only,-0.00132469058330062,-0.00362987237697142,0.00102099496069889
1.68493150684932,24 h,Tam-only,0.00341317003681125,0.00114590672192198,0.00571019482478639
1.68493150684932,4 h,Dox-only,-0.000461694953245294,-0.00275319291752896,0.0018032556712969
1.68493150684932,4 h,Tam-only,-0.000747155112481163,-0.00297104857262287,0.00153768754622249
1.72602739726027,24 h,Dox-only,-0.00124059410804683,-0.00357088242897132,0.00110293571054567
1.72602739726027,24 h,Tam-only,0.00326222974418086,0.000957733393830285,0.00556312363892375
1.72602739726027,4 h,Dox-only,-0.000292757012774682,-0.0025788214246332,0.00199565922753311
1.72602739726027,4 h,Tam-only,-0.000758615770854426,-0.00298385366112383,0.0015252407379549
1.76712328767123,24 h,Dox-only,-0.00112756941172309,-0.00348905079113494,0.00124494757613027
1.76712328767123,24 h,Tam-only,0.00310372765207687,0.000756041497668991,0.00542947027919243
1.76712328767123,4 h,Dox-only,-0.000116640745326857,-0.00239361991376367,0.00218540190495145
1.76712328767123,4 h,Tam-only,-0.000753497308180244,-0.00299571276513907,0.00155269835319035
1.80821917808219,24 h,Dox-only,-0.000983960849042606,-0.00333722816024927,0.00140241838522042
1.80821917808219,24 h,Tam-only,0.00294049712940458,0.000585305730076833,0.0052736779693005
1.80821917808219,4 h,Dox-only,5.78868775268013e-05,-0.00222086216913814,0.00240741819075423
1.80821917808219,4 h,Tam-only,-0.000736147905811668,-0.00298958780665383,0.00157473074591538
1.84931506849315,24 h,Dox-only,-0.00080858914452614,-0.00317132933495526,0.00160020926617296
1.84931506849315,24 h,Tam-only,0.00277801988181372,0.000399162378268176,0.00514243425621059
1.84931506849315,4 h,Dox-only,0.000232143321254014,-0.00205534108373653,0.00258549129794956
1.84931506849315,4 h,Tam-only,-0.000704131148359745,-0.00295817322608048,0.00159372712998672
1.89041095890411,24 h,Dox-only,-0.000607873041607233,-0.00298824450652395,0.00184000574481171
1.89041095890411,24 h,Tam-only,0.0026126026781211,0.00023133898087902,0.00497370523408198
1.89041095890411,4 h,Dox-only,0.000404511714867176,-0.00189310663042914,0.00274401401125615
1.89041095890411,4 h,Tam-only,-0.000657007624263822,-0.00294373373794972,0.00164270874961891
