contrast_id	gene_id	direction	signed_effect	signed_score	score_for_agreement	pval	padj	baseline_expression
DT_vs_D_24h	ENSG00000002587_HS3ST1	NS	-0.12939000068156936	-1.3563499617826709	-2.5332090573788797	NA	0.04402	0.8636783046305403
DT_vs_D_24h	ENSG00000002549_LAP3	NS	-0.4121142243014839	-1.3543812617573048	-2.529666561471444	NA	0.04422	5.797229759557921
DT_vs_D_24h	ENSG00000002822_MAD1L1	NS	0.38173328312739496	1.3532043112215306	2.1700146356004164	NA	0.04434	4.156412060363192
DT_vs_D_24h	ENSG00000000971_CFH	Down	-0.5966727490935266	-1.3507625276503927	-2.5192254877606644	NA	0.04459	3.260926793566615
DT_vs_D_24h	ENSG00000002586_CD99	NS	-0.11845071473654212	-1.3382819423053407	-2.4991318184057567	NA	0.04589	6.516395783215334
DT_vs_D_24h	ENSG00000002834_LASP1	NS	-0.29921077194756585	-1.2834124223243075	-2.467730990482412	NA	0.05207	8.132396471192422
DT_vs_D_24h	ENSG00000002919_SNX11	NS	-0.03893646889221625	-1.2782718014272116	-2.4617335200043993	NA	0.05269	3.480941599051945
DT_vs_D_24h	ENSG00000003137_CYP26B1	NS	0.5644233535249756	1.259953275948506	2.069525035325522	NA	0.05496	1.773141896879889
DT_vs_D_24h	ENSG00000003056_M6PR	NS	-0.26424367004075133	-1.2444300193712	-2.433002864104269	NA	0.05696	6.664453161150462
DT_vs_D_24h	ENSG00000003147_ICA1	NS	-0.01875246916363338	-1.2347786336950193	-2.424762213538105	NA	0.05824	5.439969738298787
DT_vs_D_24h	ENSG00000003249_DBNDD1	NS	-0.20415029713782396	-1.2046066650687106	-2.4009824929484025	NA	0.06243	5.683697954274219
DT_vs_D_24h	ENSG00000003402_CFLAR	NS	0.3577634578484723	1.1540342384545164	1.9572715723151075	NA	0.07014	7.627326668268712
DT_vs_D_24h	ENSG00000003393_ALS2	NS	0.09466416042488834	1.1493537648169334	1.9485578480762775	NA	0.0709	5.334942568848962
DT_vs_D_24h	ENSG00000003400_CASP10	NS	0.05039625404717629	1.1472151313194523	1.943780107367369	NA	0.07125	3.740218261141366
DT_vs_D_24h	ENSG00000003989_SLC7A2	NS	-0.8560836926550959	-1.1135656803710616	-2.332417947263751	NA	0.07699	5.373159197776747
DT_vs_D_24h	ENSG00000003509_NDUFAF7	NS	0.18036765728178497	1.110026361596004	1.8948054038300448	NA	0.07762	4.240647557784467
DT_vs_D_24h	ENSG00000003436_TFPI	NS	-0.651550007799722	-1.1091320611885591	-2.3302401968615913	NA	0.07778	7.467096496031875
DT_vs_D_24h	ENSG00000003756_RBM5	NS	0.45899232211717234	1.1091320611885591	1.892214395518992	NA	0.07778	6.8497537753745625
DT_vs_D_24h	ENSG00000004139_SARM1	NS	0.8943145524875877	1.1045222037242854	1.8879240706113587	NA	0.07861	1.4432484692149217
DT_vs_D_24h	ENSG00000004799_PDK4	NS	-0.2913751513294782	-1.1036391545306836	-2.323772439229082	NA	0.07877	7.279938754711768
DT_vs_D_24h	ENSG00000004766_VPS50	NS	-0.03230576074604663	-1.1018235165023234	-2.3216379560281935	NA	0.0791	4.885464897000846
DT_vs_D_24h	ENSG00000004059_ARF5	NS	-0.288822760169996	-1.1001248039789897	-2.3195139981281274	NA	0.07941	6.225171895059946
DT_vs_D_24h	ENSG00000004777_ARHGAP33	NS	0.6527469408776039	1.0991414952980083	1.8777667488511496	NA	0.07959	2.606337769020488
DT_vs_D_24h	ENSG00000004779_NDUFAB1	NS	-0.4386401272925768	-1.0991414952980083	-2.315297208942628	NA	0.07959	5.537762472439222
DT_vs_D_24h	ENSG00000004478_FKBP4	NS	-0.21936413408835875	-1.0983782359066427	-2.313204157563879	NA	0.07973	7.990955542148223
DT_vs_D_24h	ENSG00000004700_RECQL	NS	-0.2610691177680664	-1.096150661903319	-2.309048204240717	NA	0.08014	4.927925330684557
DT_vs_D_24h	ENSG00000004660_CAMKK1	NS	0.3869995295910833	1.0941501733576813	1.866156260301368	NA	0.08051	4.884319645829702
DT_vs_D_24h	ENSG00000004975_DVL2	NS	0.25284342673709403	1.0907649966316926	1.8620699570729904	NA	0.08114	5.272301044987509
DT_vs_D_24h	ENSG00000004455_AK2	NS	-0.12680253837690447	-1.0883098412461387	-2.30493175406344	NA	0.0816	7.627989123246781
DT_vs_D_24h	ENSG00000004961_HCCS	NS	-0.3176587168314642	-1.087087448823903	-2.3028880877937716	NA	0.08183	4.450025525139856
DT_vs_D_24h	ENSG00000005001_PRSS22	NS	0.2720989119052213	1.0853924322289197	1.8564008553397988	NA	0.08215	4.128872285042821
DT_vs_D_24h	ENSG00000004534_RBM6	NS	0.6866467836891381	1.085286713026376	1.8555958363905611	NA	0.082170000000000007	5.946545528987059
DT_vs_D_24h	ENSG00000004142_POLDIP2	NS	-0.24313843600705545	-1.084230934016316	-2.298829377099103	NA	0.08237	6.674089810759876
DT_vs_D_4h	ENSG00000000003_TSPAN6	NS	-0.04373431170912933	-3.6430185990068686	-3.7567751102642095	NA	2.275e-4	4.879077302799153
DT_vs_D_4h	ENSG00000000419_DPM1	NS	0.2785537988759783	2.554084586048877	3.0890417582605245	NA	0.002792	4.898564120532507
DT_vs_D_4h	ENSG00000000971_CFH	NS	-0.5219357325565972	-2.4537041648785576	-3.1653334131186597	NA	0.003518	3.2407857315328994
DT_vs_D_4h	ENSG00000000460_C1orf112	Up	0.6252335668230531	2.4013189010928366	2.987657396145622	NA	0.003969	3.446306455179169
DT_vs_D_4h	ENSG00000000457_SCYL3	NS	-0.4761628221383436	-2.3512497873019806	-3.072494588540877	NA	0.004454	3.85670683619713
DT_vs_D_4h	ENSG00000001084_GCLC	NS	-0.16548432367806765	-2.2844144481068036	-3.0003720361948663	NA	0.005195	7.079710511229636
DT_vs_D_4h	ENSG00000001036_FUCA2	NS	0.16807217699306065	2.2592426766922293	2.909985276448207	NA	0.005505	6.7297174145694285
DT_vs_D_4h	ENSG00000001167_NFYA	NS	0.2175581963668556	2.2254100497352054	2.9002036773770183	NA	0.005951	4.986095525838542
DT_vs_D_4h	ENSG00000001460_STPG1	NS	-0.2686379582401681	-2.224826614575213	-2.963589688020244	NA	0.005959	2.96538087119444
DT_vs_D_4h	ENSG00000001461_NIPAL3	NS	-0.21603480601248037	-2.201832940284061	-2.9521712208889004	NA	0.006283	6.636979773258605
DT_vs_D_4h	ENSG00000001497_LAS1L	NS	0.36414754302338	2.0266412001136023	2.772361614976831	NA	0.009405	4.840438370302923
DT_vs_D_4h	ENSG00000001561_ENPP4	NS	-0.4846259366255048	-1.960585880823863	-2.7402717152865335	NA	0.01095	2.264732668604939
DT_vs_D_4h	ENSG00000001617_SEMA3F	Down	-0.6252338933294386	-1.95233580539844	-2.728187985618564	NA	0.01116	6.411540969511726
DT_vs_D_4h	ENSG00000001631_KRIT1	NS	0.02693750943435979	1.863279432843593	2.638841349154925	NA	0.0137	5.099164399028224
DT_vs_D_4h	ENSG00000002016_RAD52	NS	-0.05381907807733421	-1.8572977542623843	-2.6531367211820465	NA	0.01389	3.3577629122390857
DT_vs_D_4h	ENSG00000001629_ANKIB1	NS	0.0254798541501211	1.8486301497525397	2.6205824924756898	NA	0.01417	6.308463176542086
