gene,ensg,baseline_expr,baseline_tpm,A_expr,B_expr,lfc,rank,band,updown,p_value,fdr,expr_scale
ENSG00000227486_AL050309.1,ENSG00000227486,15.5876878890154,15.5876878890154,7.59755703116496,15.5876878890154,-0.948114121227069,13622,mid,Down,,,normcounts
ENSG00000272374_Z97832.2,ENSG00000272374,15.5876878890154,15.5876878890154,12.3969689307878,15.5876878890154,-0.308206179806472,13623,mid,Neutral,,,normcounts
ENSG00000203872_C6orf163,ENSG00000203872,15.524850784519,15.524850784519,14.7943627007453,15.524850784519,-0.0652275187840274,13624,mid,Neutral,,,normcounts
ENSG00000206417_H1FX-AS1,ENSG00000206417,15.524850784519,15.524850784519,10.7968092442693,15.524850784519,-0.486240546871245,13625,mid,Down,,,normcounts
ENSG00000264853_AC011933.2,ENSG00000264853,15.524850784519,15.524850784519,18.7940504770864,15.524850784519,0.260429618180299,13626,mid,Neutral,,,normcounts
ENSG00000277715_AC079174.2,ENSG00000277715,15.524850784519,15.524850784519,15.5930196640944,15.524850784519,0.00593921300310552,13627,mid,Neutral,,,normcounts
ENSG00000181016_LSMEM1,ENSG00000181016,15.5223419587276,15.5223419587276,18.7926275971763,15.5223419587276,0.260544956035595,13628,mid,Neutral,,,normcounts
ENSG00000260388_LINC00562,ENSG00000260388,15.5223419587276,15.5223419587276,16.3966567071289,15.5223419587276,0.0743918792935547,13629,mid,Neutral,,,normcounts
ENSG00000260577_AC126773.4,ENSG00000260577,15.5223419587276,15.5223419587276,13.5949543758115,15.5223419587276,-0.178948495058213,13630,mid,Neutral,,,normcounts
ENSG00000270177_AC104109.2,ENSG00000270177,15.5223419587276,15.5223419587276,18.7944061970639,15.5223419587276,0.260674593292718,13631,mid,Neutral,,,normcounts
ENSG00000182950_ODF3L1,ENSG00000182950,15.4620136800226,15.4620136800226,11.5954662076184,15.4620136800226,-0.386236298223382,13632,mid,Down,,,normcounts
ENSG00000182511_FES,ENSG00000182511,15.4595048542311,15.4595048542311,11.5961776475735,15.4595048542311,-0.385934926821754,13633,mid,Down,,,normcounts
ENSG00000272476_AL024507.2,ENSG00000272476,15.4595048542311,15.4595048542311,16.7924279890282,15.4595048542311,0.112342460685142,13634,mid,Neutral,,,normcounts
ENSG00000275807_AC145285.6,ENSG00000275807,15.4595048542311,15.4595048542311,14.7957855806554,15.4595048542311,-0.0593812470709381,13635,mid,Neutral,,,normcounts
ENSG00000286548_AL596214.1,ENSG00000286548,15.4595048542311,15.4595048542311,8.39585827453657,15.4595048542311,-0.808824079030673,13636,mid,Down,,,normcounts
ENSG00000198064_NPIPB13,ENSG00000198064,15.400537164439,15.400537164439,35.5012051699832,15.400537164439,1.15420103062355,13637,mid,Up,,,normcounts
ENSG00000251161_AC020661.1,ENSG00000251161,15.3941589239432,15.3941589239432,15.1968926622176,15.3941589239432,-0.0174648266461563,13638,mid,Neutral,,,normcounts
ENSG00000258938_AL162311.3,ENSG00000258938,15.3941589239432,15.3941589239432,10.3967693226397,15.3941589239432,-0.524556971341692,13639,mid,Down,,,normcounts
ENSG00000273691_AC087284.1,ENSG00000273691,15.3941589239432,15.3941589239432,25.5890376251494,15.3941589239432,0.697649672155358,13640,mid,Up,,,normcounts
ENSG00000275793_RIMBP3,ENSG00000275793,15.3771894119379,15.3771894119379,26.9062539132423,15.3771894119379,0.768900683899346,13641,mid,Up,,,normcounts
ENSG00000260035_AC051619.8,ENSG00000260035,15.3601790401936,15.3601790401936,11.1912195691855,15.3601790401936,-0.424346081120249,13642,mid,Down,,,normcounts
ENSG00000239569_KMT2E-AS1,ENSG00000239569,15.3313218194468,15.3313218194468,10.7968092442693,15.3313218194468,-0.469244866301232,13643,mid,Down,,,normcounts
ENSG00000258057_BCDIN3D-AS1,ENSG00000258057,15.3313218194468,15.3313218194468,10.7975206842244,15.3313218194468,-0.469157863118815,13644,mid,Down,,,normcounts
ENSG00000143355_LHX9,ENSG00000143355,15.3288129936554,15.3288129936554,19.1937346787385,15.3288129936554,0.306487831426455,13645,mid,Neutral,,,normcounts
ENSG00000285723_AL034430.2,ENSG00000285723,15.2989977607194,15.2989977607194,29.4363651828931,15.2989977607194,0.901012822809792,13646,mid,Up,,,normcounts
